depth	min95%	max95%	best	acc.rate
8.5	-46	-19	-31	4.04
10	-40	-13	-25	4.04
16	-15	12	0	4.04
20	1	30	16	4.04
25	21	53	36	4.04
30	40	75	56	4.04
35	60	98	76	4.04
40	80	120	97	4.04
45	100	143	117	4.04
50	119	166	137	4.04
55	139	188	157	4.04
60	159	211	177	4.04
65	179	233	197	4.04
70	198	256	218	4.04
75	218	278	238	4.04
80	238	301	258	4.04
85	257	324	278	4.04
90	277	346	298	4.04
95	297	369	319	4.04
99	312	387	335	4.04
101	320	396	343	4.04
105	336	414	359	4.04
110	355	436	379	4.04
115	375	459	399	4.04
120	394	482	420	4.04
125	414	504	440	4.04
130	432	527	460	4.04
135	451	550	480	4.04
140	470	573	500	4.04
145	488	596	521	4.04
150	507	619	541	4.04
155	521	629	554	2.24
160	533	637	565	2.24
165	544	648	576	2.24
170	555	659	587	2.24
175	564	668	599	2.24
180	575	679	610	2.24
182.5	579	684	615	2.24
185	585	690	621	2.24
190	595	701	632	2.24
195	605	713	644	2.24
199	612	722	653	2.24
201	616	727	657	2.24
205	623	736	666	2.24
210	632	747	677	2.24
215	641	759	688	2.24
220	649	771	700	2.24
225	658	782	711	2.24
230	667	796	722	2.24
235	676	810	733	2.24
240	685	823	745	2.24
245	693	839	756	2.24
250	702	853	767	2.24
255	710	868	778	2.24
260	718	884	789	2.24
265	725	899	801	2.24
270	748	917	821	4.64
275	772	937	845	4.64
280	797	958	868	4.64
285	823	978	891	4.64
290	846	999	914	4.64
295	870	1020	937	4.64
299	889	1038	956	4.64
301	899	1047	965	4.64
305	918	1066	984	4.64
310	941	1089	1007	4.64
315	965	1112	1030	4.64
320	988	1136	1053	4.64
325	1013	1159	1076	4.64
330	1036	1183	1100	4.64
335	1060	1206	1123	4.64
340	1082	1229	1146	4.64
345	1104	1253	1169	4.64
350	1127	1276	1192	4.64
355	1150	1301	1215	4.64
360	1173	1324	1239	4.64
365	1196	1347	1262	4.64
370	1220	1372	1285	4.64
375	1241	1396	1308	4.64
380	1263	1422	1331	4.64
384	1279	1443	1350	4.64
390	1304	1474	1378	4.64
395	1325	1500	1401	4.64
399	1343	1521	1421	5.97
402	1363	1535	1439	5.97
405	1384	1551	1457	5.97
410	1416	1579	1486	5.97
415	1446	1606	1516	5.97
420	1476	1635	1546	5.97
425	1507	1662	1576	5.97
430	1536	1691	1606	5.97
435	1564	1723	1636	5.97
440	1591	1756	1666	5.97
445	1617	1790	1695	5.97
450	1642	1828	1725	5.97
455	1668	1866	1755	5.97
460	1694	1897	1785	5.97
465	1719	1928	1815	5.97
470	1745	1958	1845	5.97
475	1770	1990	1875	5.97
480	1796	2026	1904	5.97
485	1822	2058	1934	5.97
490	1846	2095	1964	5.97
495	1868	2131	1994	5.97
498	1883	2153	2012	5.97
501	2447	2953	2694	11.04
505	2504	2985	2738	11.04
510	2575	3024	2793	11.04
515	2646	3065	2848	11.04
520	2718	3106	2903	11.04
525	2788	3147	2959	11.04
530	2859	3190	3014	11.04
535	2927	3230	3069	11.04
540	2996	3271	3124	11.04
545	3065	3314	3179	11.04
550	3130	3359	3235	11.04
555	3192	3404	3290	11.04
560	3256	3450	3345	11.04
565	3319	3496	3400	11.04
570	3377	3542	3456	11.04
575	3435	3590	3511	11.04
580	3489	3643	3566	11.04
585	3537	3699	3621	11.04
590	3582	3758	3676	11.04
595	3626	3818	3732	11.04
599	3661	3870	3776	11.04
601	3679	3896	3798	11.04
605	3714	3948	3842	NA
