DEPTH (CM);SAMPLE AGE;14C
8.5;29.75;
10;35;-1621±28 (modern)
16;56;
20;70;
25;87.5;
30;105;
35;122.5;
40;140;
45;157.5;
50;175;
55;192.5;
60;210;
65;227.5;
70;245;
75;262.5;
80;280;
85;297.5;
90;315;
95;332.5;
99;346.5;
101;353.5;
105;367.5;
110;385;
115;402.5;
120;420;
125;437.5;
130;455;
135;472.5;
140;490;
145;507.5;
150;525;522±30
155;542.5;
160;560;
165;577.5;
170;595;
175;612.5;
180;630;
182.5;638.75;
185;647.5;
190;665;
195;682.5;
199;696.5;
201;703.5;
205;717.5;
210;735;
215;752.5;
220;770;
225;787.5;
230;805;
235;822.5;
240;840;
245;857.5;
250;875;
255;892.5;
260;910;
265;927.5;879±31
270;945;
275;962.5;
280;980;
285;997.5;
290;1015;
295;1032.5;
299;1046.5;
301;1053.5;
305;1067.5;
310;1085;
315;1102.5;
320;1120;
325;1137.5;
330;1155;
335;1172.5;
340;1190;
345;1207.5;
350;1225;
355;1242.5;
360;1260;
365;1277.5;
370;1295;
375;1312.5;
380;1330;
384;1344;
390;1365;
395;1580;
399;1596;1516±31
402;1608;
405;1620;
410;1640;
415;1660;
420;1680;
425;1700;
430;1720;
435;1740;
440;1760;
445;1780;
450;1800;
455;1820;
460;1840;
465;1860;
470;1880;
475;1900;
480;1920;
485;1940;
490;1960;
495;1980;
498;1992;2040±60
501;2254.5;
505;2525;
510;2805;
515;2832.5;
520;2860;
525;2887.5;
530;2915;
535;2942.5;
540;2970;
545;3270;3003±34
550;3300;
555;3330;
560;3360;
565;3390;
570;3420;
575;3450;
580;3480;
585;3510;
590;3540;
595;3570;
599;3594;3492±35
601;3606;
605;3630;
