depth	min95%	max95%	best	acc.rate
5	-1524	-373	-998	21.34
10	-1411	-273	-891	21.34
15	-1298	-173	-785	21.34
20	-1185	-74	-678	21.34
27	-1027	66	-529	21.34
32	-914	166	-422	21.34
38	-779	285	-294	21.34
43	-667	385	-187	21.34
48	-555	485	-80	21.34
127	1233	2042	1606	21.34
132	1347	2142	1713	21.34
138	1482	2261	1841	21.34
143	1595	2360	1947	21.34
149	1727	2480	2075	21.34
156	1881	2620	2225	21.34
161	1995	2720	2332	21.34
169	2179	2879	2502	21.34
174	2294	2979	2609	21.34
180	2429	3099	2737	21.34
186	2564	3220	2865	21.34
191	2676	3320	2972	21.34
199	2857	3480	3143	21.34
207	3039	3640	3313	21.34
213	3174	3761	3441	21.34
218	3287	3860	3548	21.34
224	3419	3977	3676	21.34
232	3598	4137	3847	21.34
237	3711	4235	3954	21.34
243	3845	4354	4082	21.34
249	3976	4472	4210	21.34
256	4135	4615	4359	21.34
261	4248	4714	4466	21.34
267	4384	4835	4594	21.34
273	4518	4955	4722	21.34
281	4697	5116	4893	21.34
287	4833	5238	5021	21.34
293	4966	5356	5149	21.34
299	5100	5475	5277	21.34
307	5281	5636	5448	21.34
313	5416	5758	5576	21.34
318	5528	5860	5682	21.34
324	5664	5980	5811	21.34
332	5838	6142	5981	21.34
338	5973	6263	6109	21.34
344	6105	6385	6237	21.34
352	6281	6548	6408	21.34
358	6411	6669	6536	21.34
363	6515	6771	6643	21.34
369	6643	6896	6771	21.34
374	6750	6999	6878	21.34
381	6904	7140	7027	21.34
386	7007	7244	7134	21.34
390	7091	7328	7219	21.34
395	7199	7432	7326	21.34
402	7347	7580	7475	21.34
408	7473	7712	7603	21.34
414	7600	7843	7732	21.34
420	7724	7972	7860	21.34
424	7806	8059	7945	21.34
431	7950	8210	8094	21.34
436	8054	8323	8201	21.34
444	8218	8499	8372	21.34
452	8382	8675	8543	21.34
458	8503	8804	8671	21.34
464	8627	8935	8799	21.34
469	8728	9043	8905	21.34
474	8832	9152	9012	21.34
480	8953	9284	9140	21.34
488	9115	9455	9311	21.34
496	9277	9634	9482	21.34
502	9400	9767	9610	21.34
510	9563	9942	9781	21.34
516	9685	10074	9909	21.34
524	9846	10254	10079	21.34
531	9988	10409	10229	21.34
536	10088	10519	10335	21.34
542	10207	10653	10464	21.34
547	10307	10764	10570	21.34
557	10508	10987	10784	21.34
563	10628	11120	10912	21.34
568	10730	11231	11018	21.34
574	10852	11368	11147	21.34
582	11014	11550	11317	21.34
588	11136	11687	11445	21.34
593	11235	11801	11552	21.34
599	11356	11937	11680	NA
