"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
5	0	0	0	0	0
10	0	0	0	0	0
15	0	0	0	0	0
20	0	0	0	0	0
27	0	0	0	0	0
32	0	0	0	0	0
38	0	0	0	0	0
43	0	0	0	0	0
48	0	0	0	0	0
127	0	0	0	0	0
132	0	0	0	0	0
138	0	0	0	0	0
143	0	0	0	0	0
149	0	0	0	0	0
156	0	1	0	0	1
161	0	1	0	0	1
169	0	1	0	0	1
174	0	1	0	0	1
180	0	1	0	0	1
186	0	1	0	0	1
191	0	1	0	0	1
199	0	1	1	1	3
207	0	1	1	1	3
213	0	1	1	1	3
218	0	1	1	1	3
224	0	1	1	1	3
232	0	1	1	1	3
237	0	1	1	1	3
243	0	1	1	1	3
249	0	1	1	1	3
256	0	1	1	1	3
261	0	1	1	1	3
267	0	1	1	1	3
273	0	1	1	0	2
281	0	1	1	0	2
287	0	1	1	0	2
293	0	1	0	0	1
299	0	1	0	0	1
307	0	1	0	0	1
313	0	1	0	0	1
318	0	1	0	0	1
324	0	1	0	0	1
332	0	1	0	0	1
338	0	1	0	0	1
344	0	0	0	0	0
352	0	1	0	0	1
358	0	1	0	0	1
363	0	1	0	0	1
369	0	1	0	0	1
374	0	1	0	0	1
381	0	1	0	0	1
386	0	1	0	0	1
390	0	1	0	0	1
395	0	1	0	0	1
402	0	1	1	1	3
408	0	1	1	1	3
414	0	1	1	1	3
420	0	1	1	1	3
424	0	1	1	1	3
431	0	1	1	1	3
436	0	1	1	1	3
444	0	1	1	1	3
452	0	1	1	1	3
458	0	1	1	1	3
464	0	1	1	1	3
469	0	1	1	0	2
474	0	1	1	0	2
480	0	1	1	0	2
488	0	1	1	0	2
496	0	1	0	0	1
502	0	1	0	0	1
510	0	1	0	0	1
516	0	1	0	0	1
524	0	1	0	0	1
531	0	1	0	0	1
536	0	1	0	0	1
542	0	0	0	0	0
547	0	0	0	0	0
557	0	0	0	0	0
563	0	0	0	0	0
568	0	0	0	0	0
574	0	0	0	0	0
582	0	0	0	0	0
588	0	0	0	0	0
593	0	0	0	0	0
599	0	0	0	0	0
