"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
2	0	1	1	1	3
4	0	1	1	1	3
6	0	1	1	1	3
8	0	1	1	1	3
10	0	1	1	1	3
12	0	1	1	1	3
14	0	1	1	1	3
16	0	1	1	1	3
18	0	1	1	1	3
20	0	1	1	1	3
22	0	1	1	1	3
24	1	1	1	1	4
26	1	1	1	1	4
28	1	1	1	0	3
30	1	1	0	0	2
32	1	0	0	0	1
34	1	0	0	0	1
36	1	0	0	0	1
38	1	0	0	0	1
40	1	0	0	0	1
42	1	1	0	0	2
44	1	1	0	0	2
46	1	1	1	1	4
48	1	1	1	1	4
50	1	1	1	1	4
52	1	1	1	1	4
54	1	1	1	1	4
56	1	1	1	0	3
58	1	1	0	0	2
62	1	1	1	1	4
64	1	1	1	1	4
66	1	1	0	0	2
68	1	0	0	0	1
70	1	1	1	1	4
72	1	1	1	0	3
