depth	min95%	max95%	best	acc.rate
0	902	1040	961	10.07
2	928	1051	981	10.07
4	952	1066	1001	10.07
6	969	1085	1021	10.07
8	987	1103	1041	10.07
10	1000	1122	1061	10.07
12	1014	1142	1082	10.07
14	1028	1161	1102	10.07
16	1041	1181	1122	10.07
18	1053	1202	1142	10.07
20	1063	1225	1162	10.07
22	1071	1252	1182	10.07
24	1081	1280	1202	372.55
26	1836	2021	1948	372.55
28	2583	2768	2693	372.55
30	3324	3521	3438	372.55
32	4061	4279	4183	372.55
34	4796	5040	4928	372.55
36	5527	5806	5673	372.55
38	6253	6566	6418	372.55
40	6984	7328	7163	372.55
42	7717	8091	7908	372.55
44	8448	8856	8654	372.55
46	9175	9618	9399	372.55
48	9908	10385	10144	479.48
50	10921	11289	11103	479.48
52	11828	12358	12062	64.17
54	12002	12426	12190	64.17
56	12172	12493	12318	64.17
58	12344	12564	12447	64.17
62	12622	12775	12703	945.54
64	14510	14670	14594	945.54
66	16363	16586	16485	945.54
68	18205	18514	18377	945.54
70	20048	20447	20268	945.54
72	21889	22386	22159	NA
