depth	min95%	max95%	best	acc.rate
0	-490	928	629	1.99
2	-311	895	633	2.1
4	-163	937	637	4.18
6	-66	1038	648	9.14
8	35	1160	670	16.96
10	152	1295	709	27.64
12	288	1454	770	41.2
14	448	1634	861	57.62
16	621	1842	985	76.9
18	802	2077	1150	99.06
20	993	2348	1360	124.07
22	1193	2658	1622	151.96
24	1451	3015	1941	182.47
26	1774	3418	2321	211.8
28	2119	3886	2758	238.26
30	2520	4390	3246	261.87
32	2965	4888	3781	282.62
34	3459	5430	4355	300.52
36	3991	5985	4964	315.55
38	4563	6556	5602	327.73
40	5156	7185	6262	337.05
42	5767	7808	6940	343.51
44	6399	8431	7629	347.11
46	7053	9118	8324	347.86
48	7726	9925	9019	345.94
50	8416	10786	9710	344.53
52	9125	11692	10399	345.27
54	9859	12596	11092	352.43
56	10647	13529	11804	367.87
58	11467	14472	12550	391.6
62	13240	16409	14215	463.21
64	13990	17409	15160	499.21
66	14757	18412	16174	526.72
68	15461	19442	17238	545.74
70	16146	20505	18335	556.27
72	16876	21558	19450	NA
