depth	min95%	max95%	best	acc.rate
6.25	-1922	620	-681	23.6
18.75	-1581	866	-386	23.6
31.25	-1240	1113	-91	23.6
43.75	-904	1359	204	23.6
56.25	-565	1606	499	23.6
68.75	-225	1852	794	23.6
81.25	116	2099	1089	23.6
93.75	457	2346	1384	23.6
106.25	798	2592	1679	23.6
118.75	1139	2839	1974	23.6
131.25	1474	3085	2269	23.6
143.75	1815	3332	2564	23.6
156.25	2156	3578	2859	23.6
168.75	2496	3825	3154	23.6
181.25	2833	4071	3449	23.6
193.75	3169	4318	3744	23.6
206.25	3510	4567	4039	23.6
218.75	3853	4818	4334	23.6
231.25	4192	5065	4629	23.6
243.75	4539	5314	4924	23.6
256.25	4882	5563	5219	23.6
268.75	5217	5814	5514	23.6
281.25	5556	6063	5809	23.6
293.75	5900	6316	6104	23.6
306.25	6233	6569	6399	23.6
318.75	6564	6828	6694	23.6
331.25	6881	7102	6989	23.68
343.75	7184	7388	7287	23.98
356.25	7487	7690	7590	24.55
368.75	7798	7997	7901	25.35
381.25	8129	8312	8224	26.42
393.75	8461	8650	8562	27.72
406.25	8792	9045	8921	29.97
418.75	9151	9512	9314	33.24
431.25	9552	10024	9755	37.8
443.75	10033	10574	10260	43.3
456.25	10613	11150	10841	50.17
468.75	11307	11751	11511	56.9
481.25	12066	12342	12227	55.88
493.75	12768	12987	12883	50.04
500	13097	13380	13199	52.01
506.25	13442	13783	13536	56.96
512.5	13811	14206	13911	63.71
518.75	14206	14656	14327	69.55
525	14630	15112	14777	74.74
531.25	15076	15586	15254	78.48
537.5	15532	16070	15753	81.22
543.75	15987	16562	16266	82.94
556.25	16976	17539	17310	83.3
568.75	17914	18490	18333	79.52
581	18800	19421	19267	72.57
593.75	19647	20335	20153	66.31
606	20441	21152	20933	60.77
618.75	21247	21936	21679	56.15
631	21954	22645	22343	52.29
643.75	22624	23361	22991	49.32
656	23217	24017	23582	47.14
668.75	23814	24679	24174	45.82
681	24335	25323	24731	45.31
693.75	24850	25989	25309	45.31
706	25341	26613	25864	45.31
718.75	25842	27321	26442	45.31
731	26316	27986	26997	45.31
743.75	26810	28711	27574	45.31
756.25	27294	29400	28141	45.31
768.75	27781	30077	28707	45.31
781.25	28271	30754	29274	45.31
793.75	28761	31431	29840	45.31
806.25	29247	32110	30406	45.31
818.75	29734	32813	30973	45.31
831.25	30220	33505	31539	45.31
843.75	30707	34201	32106	45.31
856.25	31190	34911	32672	45.31
868.75	31676	35621	33238	45.31
881.25	32163	36325	33805	45.31
893.75	32650	37024	34371	45.31
906.25	33135	37710	34938	45.31
918.75	33619	38426	35504	45.31
931.25	34104	39131	36070	45.31
943.75	34589	39826	36637	45.31
956.25	35079	40532	37203	45.31
968.75	35565	41228	37769	45.31
981.25	36051	41933	38336	45.31
987.5	36293	42285	38619	45.31
1000	36779	42988	39185	45.31
1006.25	37022	43331	39469	45.31
1018.75	37508	44015	40035	45.31
1031.25	37993	44700	40601	45.31
1043.75	38479	45385	41168	45.31
1056.25	38964	46096	41734	45.31
1068.75	39450	46797	42301	45.31
1081.25	39936	47490	42867	45.31
1093.75	40421	48182	43433	45.31
1106.25	40907	48874	44000	45.31
1118.75	41392	49566	44566	45.31
1131.25	41878	50258	45132	45.31
1143.75	42363	50950	45699	45.31
1150	42606	51296	45982	45.31
1162.5	43091	51988	46548	45.31
1168.75	43334	52332	46832	45.31
1181.25	43819	53026	47398	45.31
1193.75	44304	53718	47964	45.31
1200	44547	54064	48248	NA
