"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
6.25	0	0	0	0	0
18.75	0	0	0	0	0
31.25	0	0	0	0	0
43.75	0	0	0	0	0
56.25	0	0	0	0	0
68.75	0	0	0	0	0
81.25	0	0	0	0	0
93.75	0	0	0	0	0
106.25	0	0	0	0	0
118.75	0	0	0	0	0
131.25	0	0	0	0	0
143.75	0	0	0	0	0
156.25	0	0	0	0	0
168.75	0	0	0	0	0
181.25	0	0	0	0	0
193.75	0	0	0	0	0
206.25	0	0	0	0	0
218.75	0	0	0	0	0
231.25	0	0	0	0	0
243.75	0	1	0	0	1
256.25	0	1	0	0	1
268.75	0	1	0	0	1
281.25	0	1	1	1	3
293.75	0	1	1	1	3
306.25	0	1	1	1	3
318.75	0	1	1	1	3
331.25	1	1	1	1	4
343.75	1	1	1	0	3
356.25	1	1	1	1	4
368.75	1	1	1	1	4
381.25	1	1	1	1	4
393.75	1	1	1	1	4
406.25	1	1	1	1	4
418.75	1	1	1	0	3
431.25	1	1	1	1	4
443.75	1	1	1	1	4
456.25	1	1	1	1	4
468.75	1	1	1	1	4
481.25	1	1	1	1	4
493.75	1	1	1	1	4
500	1	1	1	1	4
506.25	1	1	1	1	4
512.5	1	1	1	1	4
518.75	1	1	1	0	3
525	1	1	0	0	2
531.25	1	1	0	0	2
537.5	1	1	0	0	2
543.75	1	1	1	1	4
556.25	1	1	1	1	4
568.75	1	1	1	1	4
581	1	1	1	0	3
593.75	1	1	0	0	2
606	1	0	0	0	1
618.75	1	0	0	0	1
631	1	0	0	0	1
643.75	1	1	0	0	2
656	1	1	0	0	2
668.75	1	1	1	1	4
681	1	1	1	1	4
693.75	0	1	1	1	3
706	0	1	1	0	2
718.75	0	1	0	0	1
731	0	0	0	0	0
743.75	0	0	0	0	0
756.25	0	0	0	0	0
768.75	0	0	0	0	0
781.25	0	0	0	0	0
793.75	0	0	0	0	0
806.25	0	0	0	0	0
818.75	0	0	0	0	0
831.25	0	0	0	0	0
843.75	0	0	0	0	0
856.25	0	0	0	0	0
868.75	0	0	0	0	0
881.25	0	0	0	0	0
893.75	0	0	0	0	0
906.25	0	0	0	0	0
918.75	0	0	0	0	0
931.25	0	0	0	0	0
943.75	0	0	0	0	0
956.25	0	0	0	0	0
968.75	0	0	0	0	0
981.25	0	0	0	0	0
987.5	0	0	0	0	0
1000	0	0	0	0	0
1006.25	0	0	0	0	0
1018.75	0	0	0	0	0
1031.25	0	0	0	0	0
1043.75	0	0	0	0	0
1056.25	0	0	0	0	0
1068.75	0	0	0	0	0
1081.25	0	0	0	0	0
1093.75	0	0	0	0	0
1106.25	0	0	0	0	0
1118.75	0	0	0	0	0
1131.25	0	0	0	0	0
1143.75	0	0	0	0	0
1150	0	0	0	0	0
1162.5	0	0	0	0	0
1168.75	0	0	0	0	0
1181.25	0	0	0	0	0
1193.75	0	0	0	0	0
1200	0	0	0	0	0
