depth	min95%	max95%	best	acc.rate
280	5106	6212	5645	18.3
285	5221	6279	5737	18.3
290	5336	6346	5828	18.3
295	5452	6413	5920	18.3
300	5567	6479	6011	18.3
335	6366	6951	6652	18.3
340	6480	7020	6743	18.3
345	6591	7087	6835	18.3
350	6694	7150	6917	18.3
360	6922	7292	7100	18.3
380	7351	7587	7466	18.3
385	7452	7663	7557	18.3
390	7552	7739	7649	18.3
395	7642	7824	7740	18.3
400	7726	7916	7832	18.3
405	7815	8001	7918	14.74
410	7894	8072	7992	14.74
415	7977	8143	8065	14.74
420	8056	8227	8139	14.74
425	8133	8322	8213	14.74
430	8204	8412	8286	14.74
435	8270	8502	8360	14.74
440	8336	8595	8434	14.74
445	8398	8687	8508	14.74
450	8454	8745	8567	5.41
455	8496	8739	8594	5.41
460	8522	8787	8621	5.41
465	8525	8885	8648	5.41
470	8560	8912	8676	5.72
475	8587	8863	8705	5.72
485	8403	9412	8837	27.23
490	7948	10375	8974	27.23
495	8297	10385	9188	49.68
500	9009	10008	9437	49.68
505	9727	10046	9838	355.37
510	11457	11800	11615	355.37
515	13161	13642	13392	355.37
520	14833	15503	15168	355.37
525	15639	16271	15952	71.6
530	16051	16568	16310	71.6
535	16408	16917	16668	71.6
540	16723	17306	17026	71.6
545	17004	17656	17339	41.81
550	17224	17850	17548	41.81
555	17445	18045	17757	41.81
560	17669	18240	17967	41.81
565	17894	18434	18176	41.81
570	18114	18631	18385	41.81
575	18333	18827	18594	41.81
580	18561	19028	18803	41.81
595	19226	19624	19430	41.81
600	19446	19823	19639	41.81
605	19656	20028	19848	41.81
610	19871	20233	20057	41.81
615	20084	20443	20266	41.81
620	20293	20649	20475	41.81
625	20498	20858	20684	41.81
630	20709	21063	20893	41.81
635	20911	21276	21102	41.81
640	21112	21489	21311	41.81
645	21313	21705	21520	41.81
650	21516	21919	21729	41.81
680	22564	23246	22915	39.39
685	22699	23496	23112	39.39
690	22834	23747	23309	39.39
695	22971	23994	23506	39.39
700	23127	24246	23710	53.75
705	23408	24505	23978	53.75
720	24252	25314	24785	53.75
725	24530	25595	25053	53.75
730	24793	25885	25322	53.75
745	25561	26725	26128	53.75
755	26066	27301	26666	53.75
760	26303	27604	26935	53.75
765	26531	27911	27203	53.75
770	26763	28218	27472	53.75
775	26997	28523	27741	53.75
780	27228	28826	28010	53.75
785	27463	29143	28278	53.75
790	27694	29440	28547	53.75
795	27926	29735	28816	53.75
805	28390	30347	29353	53.75
810	28625	30663	29622	53.75
815	28858	30975	29891	53.75
820	29091	31284	30160	53.75
825	29324	31592	30428	53.75
830	29550	31903	30697	53.75
835	29773	32211	30966	53.75
840	30000	32518	31235	53.75
845	30224	32820	31503	53.75
850	30458	33125	31772	53.75
855	30685	33436	32041	53.75
860	30911	33755	32310	53.75
865	31129	34062	32578	53.75
870	31346	34367	32847	53.75
875	31566	34681	33116	53.75
880	31799	34997	33385	53.75
885	32012	35313	33653	53.75
890	32256	35628	33922	53.75
895	32478	35944	34191	53.75
900	32738	36229	34466	59.88
905	33027	36483	34765	59.88
910	33357	36734	35065	59.88
915	33683	37030	35364	59.88
920	33973	37356	35663	59.88
925	34228	37755	35963	59.88
930	34444	38177	36262	59.88
935	34710	38486	36562	59.88
940	35020	38869	36861	59.88
945	35298	39277	37160	59.88
950	35549	39698	37460	59.88
980	36876	42404	39256	59.88
985	37039	42837	39556	59.88
990	37224	43345	39855	59.88
995	37441	43863	40155	59.88
1000	37612	44352	40454	59.88
1005	37754	44866	40753	59.88
1010	37984	45405	41053	59.88
1015	38162	45823	41352	59.88
1020	38364	46305	41652	59.88
1025	38552	46792	41951	59.88
1030	38694	47279	42250	59.88
1035	38862	47766	42550	59.88
1040	39048	48252	42849	59.88
1045	39219	48739	43149	59.88
1050	39373	49226	43448	59.88
1055	39497	49713	43748	59.88
1060	39623	50226	44047	59.88
1070	39965	51259	44646	59.88
1075	40113	51759	44945	59.88
1080	40264	52227	45245	59.88
1085	40417	52695	45544	59.88
1095	40803	53665	46143	59.88
1100	40961	54175	46442	59.88
1105	41119	54682	46742	59.88
1110	41260	55190	47041	59.88
1115	41369	55664	47341	59.88
1120	41478	56136	47640	59.88
1125	41626	56625	47939	59.88
1130	41787	57112	48239	59.88
1140	42108	58029	48838	59.88
1145	42269	58492	49137	59.88
1150	42430	58972	49436	59.88
1155	42591	59459	49736	59.88
1160	42753	59945	50035	59.88
1165	42915	60424	50335	59.88
1170	43077	60918	50634	59.88
1175	43240	61407	50934	59.88
1185	43564	62382	51532	59.88
1190	43737	62869	51832	59.88
1195	43914	63351	52131	59.88
1200	44082	63826	52431	59.88
1205	44245	64301	52730	59.88
1210	44409	64776	53029	59.88
1215	44573	65251	53329	59.88
1220	44736	65727	53628	59.88
1225	44900	66202	53928	59.88
1230	45063	66677	54227	59.88
1235	45227	67152	54526	59.88
1240	45390	67627	54826	59.88
1245	45554	68102	55125	59.88
1250	45717	68578	55425	59.88
1255	45881	69053	55724	59.88
1260	46039	69528	56024	59.88
1265	46198	70003	56323	59.88
1270	46357	70478	56622	59.88
1275	46516	70953	56922	59.88
1280	46675	71429	57221	59.88
1285	46833	71904	57521	59.88
1290	46992	72379	57820	59.88
1295	47151	72854	58119	59.88
1300	47310	73337	58419	59.88
1305	47466	73829	58718	59.88
1310	47608	74321	59018	59.88
1315	47759	74813	59317	59.88
1320	47919	75305	59617	59.88
1325	48080	75796	59916	59.88
1330	48240	76288	60215	59.88
1335	48400	76780	60515	59.88
1340	48561	77272	60814	59.88
1345	48721	77764	61114	59.88
1350	48883	78255	61413	59.88
1355	49040	78747	61712	59.88
1360	49194	79239	62012	59.88
1370	49503	80222	62611	59.88
1380	49811	81205	63210	59.88
1390	50119	82189	63808	59.88
1400	50426	83172	64407	59.88
1410	50733	84155	65006	59.88
1420	51039	85139	65605	59.88
1430	51345	86122	66204	59.88
1440	51652	87105	66802	59.88
1450	51946	88089	67401	59.88
1460	52234	89072	68000	59.88
1470	52554	90055	68599	59.88
1480	52875	91038	69198	59.88
1490	53162	92022	69797	59.88
1500	53448	92998	70395	59.88
1510	53735	93968	70994	59.88
1520	54021	94937	71593	59.88
1530	54308	95907	72192	59.88
1540	54595	96876	72791	59.88
1550	54883	97846	73390	59.88
1560	55171	98815	73988	59.88
1570	55482	99785	74587	59.88
1580	55796	100754	75186	59.88
1590	56110	101723	75785	59.88
1600	56424	102692	76384	59.88
1610	56732	103661	76983	59.88
1620	57004	104631	77581	59.88
1630	57276	105600	78180	59.88
1640	57548	106569	78779	59.88
1650	57820	107538	79378	59.88
1660	58093	108507	79977	59.88
1670	58365	109476	80576	59.88
1680	58637	110445	81174	59.88
1690	58909	111414	81773	59.88
1700	59184	112383	82372	59.88
1710	59469	113352	82971	59.88
1720	59755	114321	83570	59.88
1730	60041	115290	84169	59.88
1740	60327	116259	84767	59.88
1750	60614	117228	85366	59.88
1760	60900	118197	85965	NA
