depth	min95%	max95%	best	acc.rate
280	5051	6270	5613	18.48
285	5170	6333	5706	18.48
290	5289	6396	5798	18.48
295	5405	6459	5891	18.48
300	5521	6522	5983	18.48
335	6345	6955	6630	18.48
340	6466	7020	6722	18.48
345	6578	7081	6815	18.48
350	6694	7144	6907	18.48
360	6926	7278	7092	18.48
380	7355	7575	7461	18.45
385	7455	7655	7554	18.44
390	7554	7738	7646	18.42
395	7648	7823	7738	18.41
400	7744	7912	7830	18.39
405	7841	8002	7922	18.36
410	7936	8093	8013	18.09
415	8024	8181	8103	17.51
420	8104	8265	8188	16.61
425	8179	8347	8269	15.39
430	8247	8423	8343	13.86
435	8308	8491	8409	12.01
440	8365	8546	8465	9.85
445	8406	8589	8509	7.37
450	8440	8621	8540	4.61
455	8452	8638	8558	2.15
460	8454	8646	8565	0.17
465	8454	8643	8563	-1.31
470	8428	8642	8554	-1.74
475	8420	8684	8551	2.2
485	8451	9036	8660	25.94
490	8583	9405	8834	50.03
495	8854	9934	9147	83.51
500	9325	10612	9647	126.4
505	9930	11439	10380	178.45
510	10721	12413	11363	218.81
515	11610	13490	12496	233.05
520	12619	14519	13648	221.16
525	13646	15419	14694	190.75
530	14589	16227	15591	163.57
535	15499	17038	16362	141.09
540	16389	17771	17030	123.28
545	17161	18401	17619	109.97
550	17781	18959	18145	98.38
555	18217	19470	18615	87.54
560	18570	19904	19032	77.45
565	18868	20267	19400	68.1
570	19138	20585	19723	59.5
575	19386	20853	20005	51.64
580	19613	21056	20249	44.53
595	20177	21515	20790	27.69
600	20350	21615	20920	23.57
605	20497	21692	21031	20.2
610	20625	21744	21126	17.57
615	20760	21761	21210	15.69
620	20881	21797	21286	14.56
625	20995	21813	21358	14.17
630	21114	21842	21429	14.53
635	21228	21878	21504	15.64
640	21349	21934	21585	17.49
645	21482	22004	21678	20.09
650	21620	22102	21784	23.44
680	22436	23059	22777	41.25
685	22589	23294	22987	42.97
690	22751	23538	23205	44.33
695	22915	23780	23429	45.34
700	23097	24044	23657	45.99
705	23285	24311	23888	46.48
720	23865	25103	24595	47.92
725	24071	25376	24836	48.39
730	24271	25654	25078	48.84
745	24962	26515	25820	50.15
755	25419	27101	26326	50.98
760	25641	27409	26581	51.38
765	25856	27711	26839	51.77
770	26094	28007	27099	52.16
775	26345	28317	27360	52.54
780	26608	28645	27624	52.9
785	26838	28954	27889	53.26
790	27084	29265	28156	53.61
795	27330	29564	28425	53.95
805	27810	30185	28967	54.61
810	28022	30487	29241	54.92
815	28268	30790	29516	55.23
820	28516	31112	29793	55.53
825	28758	31431	30071	55.82
830	28994	31734	30351	56.1
835	29245	32037	30632	56.37
840	29492	32369	30914	56.63
845	29728	32666	31198	56.89
850	29961	32967	31483	57.13
855	30207	33282	31769	57.37
860	30471	33589	32056	57.6
865	30734	33905	32344	57.82
870	31005	34222	32634	58.03
875	31308	34516	32925	58.23
880	31605	34848	33216	58.42
885	31894	35151	33509	58.61
890	32199	35433	33802	58.78
895	32512	35704	34096	58.95
900	32811	36043	34391	59.11
905	33137	36370	34687	59.26
910	33424	36656	34984	59.41
915	33725	36961	35281	59.55
920	34063	37291	35579	59.69
925	34345	37612	35878	59.82
930	34619	37928	36177	59.95
935	34890	38282	36477	60.07
940	35185	38617	36778	60.18
945	35456	38972	37079	60.29
950	35739	39337	37381	60.4
980	37074	41869	39201	60.92
985	37293	42286	39505	60.99
990	37469	42746	39810	61.06
995	37641	43294	40116	61.11
1000	37804	43762	40422	61.17
1005	37963	44267	40727	61.22
1010	38109	44780	41034	61.26
1015	38229	45341	41340	61.3
1020	38351	45804	41647	61.33
1025	38470	46345	41953	61.36
1030	38576	46891	42260	61.38
1035	38702	47420	42567	61.4
1040	38832	47897	42874	61.41
1045	38960	48370	43181	61.42
1050	39113	48894	43488	61.42
1055	39208	49438	43795	61.42
1060	39342	49978	44102	61.42
1070	39596	51104	44717	61.42
1075	39722	51684	45024	61.42
1080	39841	52165	45331	61.42
1085	40004	52695	45638	61.42
1095	40277	53791	46252	61.42
1100	40380	54339	46559	61.42
1105	40508	54887	46866	61.42
1110	40642	55419	47173	61.42
1115	40766	55924	47480	61.42
1120	40856	56429	47788	61.42
1125	40981	56933	48095	61.42
1130	41123	57437	48402	61.42
1140	41379	58530	49016	61.42
1145	41515	59073	49323	61.42
1150	41651	59584	49630	61.42
1155	41788	60083	49937	61.42
1160	41924	60620	50244	61.42
1165	42061	61192	50551	NA
