depth	min95%	max95%	best	acc.rate
280	5078	6227	5628	18.29
285	5194	6294	5720	18.29
290	5310	6361	5811	18.29
295	5427	6428	5903	18.29
300	5543	6495	5994	18.29
335	6342	6950	6634	18.29
340	6454	7014	6726	18.29
345	6568	7082	6817	18.29
350	6682	7151	6909	18.29
360	6911	7287	7092	18.29
380	7347	7581	7458	18.29
385	7447	7655	7549	18.29
390	7547	7730	7640	18.29
395	7642	7812	7732	18.29
400	7730	7905	7823	18.29
405	7810	7997	7911	14.56
410	7892	8060	7984	14.56
415	7973	8132	8057	14.56
420	8048	8208	8130	14.56
425	8125	8292	8202	14.56
430	8193	8379	8275	14.56
435	8259	8469	8348	14.56
440	8324	8559	8421	14.56
445	8384	8650	8494	14.56
450	8444	8715	8558	6.14
455	8493	8725	8589	6.14
460	8523	8773	8619	6.14
465	8542	8872	8650	6.14
470	8564	8898	8680	5.66
475	8589	8864	8708	5.66
485	8437	9293	8822	24.68
490	8031	10150	8945	24.68
495	8277	10307	9148	51.2
500	8948	9993	9404	51.2
505	9545	9879	9660	355.2
510	11282	11625	11436	355.2
515	12970	13437	13212	355.2
520	14656	15303	14988	355.2
525	15580	16217	15914	71.93
530	15990	16525	16274	71.93
535	16365	16881	16633	71.93
540	16698	17283	16993	71.93
545	16949	17652	17323	41.76
550	17176	17844	17531	41.76
555	17401	18037	17740	41.76
560	17625	18238	17949	41.76
565	17850	18436	18158	41.76
570	18075	18633	18367	41.76
575	18303	18830	18575	41.76
580	18525	19027	18784	41.76
595	19197	19617	19411	41.76
600	19419	19815	19620	41.76
605	19638	20012	19828	41.76
610	19850	20211	20037	41.76
615	20068	20410	20246	41.76
620	20282	20618	20455	41.76
625	20494	20821	20664	41.76
630	20705	21032	20872	41.76
635	20913	21245	21081	41.76
640	21116	21458	21290	41.76
645	21316	21672	21499	41.76
650	21519	21888	21708	41.76
680	22528	23224	22890	39.25
685	22671	23474	23086	39.25
690	22818	23725	23283	39.25
695	22963	23978	23479	39.25
700	23102	24233	23675	53.8
705	23387	24493	23944	53.8
720	24213	25296	24751	53.8
725	24471	25564	25020	53.8
730	24746	25835	25289	53.8
745	25539	26701	26096	53.8
755	26041	27294	26634	53.8
760	26288	27613	26903	53.8
765	26523	27904	27172	53.8
770	26775	28203	27441	53.8
775	27032	28518	27710	53.8
780	27278	28832	27979	53.8
785	27523	29156	28248	53.8
790	27753	29462	28517	53.8
795	27981	29770	28786	53.8
805	28436	30385	29324	53.8
810	28659	30693	29593	53.8
815	28886	31020	29862	53.8
820	29127	31348	30131	53.8
825	29352	31664	30400	53.8
830	29573	31968	30669	53.8
835	29794	32279	30938	53.8
840	30030	32602	31207	53.8
845	30257	32926	31476	53.8
850	30480	33242	31745	53.8
855	30705	33559	32014	53.8
860	30933	33894	32283	53.8
865	31159	34221	32552	53.8
870	31386	34545	32822	53.8
875	31615	34869	33091	53.8
880	31841	35193	33360	53.8
885	32069	35517	33629	53.8
890	32296	35840	33898	53.8
895	32519	36153	34167	53.8
900	32746	36462	34436	60.99
905	33101	36726	34741	60.99
910	33463	37013	35045	60.99
915	33759	37291	35350	60.99
920	34056	37524	35655	60.99
925	34375	37808	35960	60.99
930	34752	38116	36265	60.99
935	35012	38505	36570	60.99
940	35264	38768	36875	60.99
945	35514	39215	37180	60.99
950	35732	39660	37485	60.99
980	36924	42342	39315	60.99
985	37095	42797	39620	60.99
990	37301	43293	39925	60.99
995	37486	43789	40229	60.99
1000	37666	44261	40534	60.99
1005	37843	44723	40839	60.99
1010	38019	45214	41144	60.99
1015	38195	45685	41449	60.99
1020	38374	46142	41754	60.99
1025	38552	46670	42059	60.99
1030	38726	47139	42364	60.99
1035	38900	47605	42669	60.99
1040	39083	48060	42974	60.99
1045	39246	48544	43279	60.99
1050	39420	49015	43584	60.99
1055	39574	49484	43889	60.99
1060	39723	49952	44194	60.99
1070	40010	50946	44804	60.99
1075	40144	51424	45109	60.99
1080	40299	51932	45414	60.99
1085	40457	52380	45718	60.99
1095	40782	53358	46328	60.99
1100	40932	53852	46633	60.99
1105	41083	54347	46938	60.99
1110	41233	54830	47243	60.99
1115	41385	55308	47548	60.99
1120	41537	55812	47853	60.99
1125	41689	56293	48158	60.99
1130	41840	56789	48463	60.99
1140	42144	57754	49073	60.99
1145	42296	58267	49378	60.99
1150	42448	58768	49683	60.99
1155	42592	59251	49988	60.99
1160	42750	59734	50293	60.99
1165	42900	60216	50598	NA
