"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
280	0	1	0	0	1
285	0	1	0	0	1
290	0	1	0	0	1
295	0	1	0	0	1
300	0	1	1	1	3
335	0	1	1	1	3
340	0	1	1	1	3
345	0	1	1	1	3
350	1	1	1	1	4
360	1	1	1	1	4
380	1	1	1	1	4
385	1	1	1	1	4
390	1	1	1	1	4
395	1	1	1	1	4
400	1	1	1	1	4
405	1	1	1	1	4
410	1	1	1	1	4
415	1	1	1	1	4
420	1	1	1	1	4
425	1	1	1	1	4
430	1	1	1	1	4
435	1	1	1	1	4
440	1	1	1	1	4
445	1	1	1	1	4
450	1	1	1	1	4
455	1	1	1	1	4
460	1	1	1	1	4
465	1	1	1	1	4
470	1	1	1	1	4
475	1	1	1	1	4
485	1	1	1	1	4
490	1	1	1	1	4
495	0	1	1	1	3
500	0	1	1	1	3
505	0	1	1	1	3
510	0	1	0	0	1
515	0	0	0	0	0
520	0	1	1	1	3
525	1	1	1	1	4
530	1	1	1	1	4
535	1	1	1	1	4
540	1	1	1	1	4
545	1	1	1	1	4
550	1	1	1	1	4
555	1	1	1	1	4
560	1	1	1	0	3
565	1	1	1	0	3
570	1	1	0	0	2
575	1	1	0	0	2
580	1	1	0	0	2
595	1	0	0	0	1
600	1	0	0	0	1
605	1	1	0	0	2
610	1	1	0	0	2
615	1	1	0	0	2
620	1	1	0	0	2
625	1	1	0	0	2
630	1	1	1	1	4
635	1	1	1	1	4
640	1	1	1	1	4
645	1	1	1	1	4
650	1	1	1	1	4
680	1	1	1	1	4
685	1	1	1	1	4
690	1	1	1	1	4
695	1	1	1	1	4
700	1	1	1	1	4
705	1	1	1	1	4
720	1	1	0	0	2
725	1	1	0	0	2
730	1	1	0	0	2
745	1	0	0	0	1
755	1	0	0	0	1
760	1	0	0	0	1
765	1	0	0	0	1
770	1	0	0	0	1
775	1	0	0	0	1
780	1	0	0	0	1
785	1	0	0	0	1
790	1	0	0	0	1
795	1	0	0	0	1
805	1	0	0	0	1
810	1	0	0	0	1
815	1	0	0	0	1
820	1	0	0	0	1
825	1	0	0	0	1
830	1	0	0	0	1
835	1	0	0	0	1
840	1	0	0	0	1
845	1	0	0	0	1
850	1	0	0	0	1
855	1	0	0	0	1
860	1	0	0	0	1
865	1	0	0	0	1
870	1	1	0	0	2
875	1	1	0	0	2
880	1	1	0	0	2
885	1	1	1	1	4
890	1	1	1	1	4
895	1	1	1	1	4
900	1	1	1	1	4
905	1	1	1	1	4
910	1	1	1	1	4
915	1	1	1	0	3
920	1	1	0	0	2
925	1	1	0	0	2
930	1	1	0	0	2
935	1	1	0	0	2
940	1	0	0	0	1
945	1	0	0	0	1
950	1	0	0	0	1
980	1	0	0	0	1
985	1	0	0	0	1
990	1	0	0	0	1
995	1	0	0	0	1
1000	1	0	0	0	1
1005	1	0	0	0	1
1010	1	0	0	0	1
1015	1	0	0	0	1
1020	1	0	0	0	1
1025	1	0	0	0	1
1030	1	1	0	0	2
1035	1	1	0	0	2
1040	1	1	0	0	2
1045	1	1	1	1	4
1050	1	1	1	1	4
1055	0	1	1	1	3
1060	0	1	1	1	3
1070	0	1	1	0	2
1075	0	1	1	0	2
1080	0	1	0	0	1
1085	0	1	0	0	1
1095	0	0	0	0	0
1100	0	0	0	0	0
1105	0	0	0	0	0
1110	0	0	0	0	0
1115	0	0	0	0	0
1120	0	0	0	0	0
1125	0	0	0	0	0
1130	0	0	0	0	0
1140	0	0	0	0	0
1145	0	0	0	0	0
1150	0	0	0	0	0
1155	0	0	0	0	0
1160	0	0	0	0	0
1165	0	0	0	0	0
