DEPTH (CM);SAMPLE AGE
280;2000
285;2354
290;2709
295;3063
300;3417
335;5898
340;6252
345;6607
350;6909
360;7094
380;7464
385;7557
390;7649
395;7742
400;7834
405;7920
410;7996
415;8071
420;8147
425;8222
430;8298
435;8374
440;8449
445;8525
450;8575
455;8588
460;8602
465;8615
470;8633
475;8654
485;8788
490;8923
495;9150
500;9400
505;9947
510;11682
515;13418
520;15153
525;15773
530;16114
535;16455
540;16795
545;17080
550;17279
555;17478
560;17677
565;17876
570;18075
575;18274
580;18473
595;19070
600;19269
605;19469
610;19668
615;19867
620;20066
625;20265
630;20464
635;20663
640;20862
645;21061
650;21260
680;22720
685;22965
690;23209
695;23454
700;23703
705;23967
720;24761
725;25025
730;25290
745;26083
755;26612
760;26876
765;27141
770;27405
775;27670
780;27934
785;28198
790;28463
795;28727
805;29256
810;29521
815;29785
820;30050
825;30314
830;30578
835;30843
840;31107
845;31372
850;31636
855;31901
860;32165
865;32430
870;32694
875;32959
880;33223
885;33487
890;33752
895;34016
900;34281
905;34545
910;34810
915;35074
920;35390
925;35705
930;36021
935;36336
940;36652
945;36967
950;37283
980;39176
985;39491
990;39807
995;40123
1000;40438
1005;40754
1010;41069
1015;41385
1020;41700
1025;42016
1030;42331
1035;42647
1040;42962
1045;43278
1050;43593
1055;43909
1060;44224
1070;44855
1075;45171
1080;45487
1085;45802
1095;46433
1100;46749
1105;47064
1110;47380
1115;47695
1120;48011
1125;48326
1130;48642
1140;49273
1145;49588
1150;49904
1155;50219
1160;50535
1165;50850
