depth	min95%	max95%	best	acc.rate
10	-438	83	-197	13.44
20	-284	200	-63	13.44
30	-130	319	72	13.44
40	25	439	206	13.44
50	179	557	341	13.44
60	335	676	475	13.44
70	487	796	610	13.44
80	640	915	744	13.44
90	788	1035	879	13.44
100	932	1155	1013	13.44
110	1073	1275	1147	13.44
130	1333	1523	1416	13.44
140	1459	1653	1551	13.44
150	1584	1786	1685	13.44
160	1714	1942	1820	13.44
170	1834	2081	1954	13.44
183	1991	2270	2129	13.44
190	2076	2373	2223	13.44
199	2184	2508	2344	6703.82
NA	NA	NA	NA	NA
345	28392	29541	29159	6703.82
349	47946	49905	49275	4.06
355	48023	49908	49299	4.06
360	48078	49909	49319	4.06
365	48137	49910	49340	4.06
370	48173	49912	49360	4.06
374	48206	49914	49376	4.06
380	48312	49919	49400	4.06
385	48393	49922	49421	4.06
390	48455	49925	49441	4.06
395	48509	49929	49461	4.06
399	48546	49931	49478	4.06
405	48610	49936	49502	4.06
430	48890	49949	49603	4.06
460	49062	49981	49725	4.06
470	49104	50043	49766	4.06
599	49115	50136	49802	4.06
610	49145	50279	49847	4.06
620	49168	50428	49887	4.06
634	49197	50609	49944	4.06
644	49217	50733	49985	4.06
660	49243	50986	50050	4.06
665	49248	51066	50070	4.06
670	49256	51132	50090	4.06
674	49260	51185	50106	4.06
685	49275	51330	50151	4.06
690	49299	51396	50171	4.06
