"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
10	0	0	0	0	0
20	0	0	0	0	0
30	0	0	0	0	0
40	0	0	0	0	0
50	0	0	0	0	0
60	0	0	0	0	0
70	0	0	0	0	0
80	0	0	0	0	0
90	0	0	0	0	0
100	0	0	0	0	0
110	0	0	0	0	0
130	0	0	0	0	0
140	0	0	0	0	0
150	0	0	0	0	0
160	0	0	0	0	0
170	0	0	0	0	0
183	0	0	0	0	0
190	0	0	0	0	0
199	0	0	0	0	0
345	0	0	0	0	0
349	0	0	0	0	0
355	0	0	0	0	0
360	0	0	0	0	0
365	0	0	0	0	0
370	0	0	0	0	0
374	0	0	0	0	0
380	0	0	0	0	0
385	0	0	0	0	0
390	0	0	0	0	0
395	0	0	0	0	0
399	0	0	0	0	0
405	0	0	0	0	0
430	0	0	0	0	0
460	0	0	0	0	0
470	0	0	0	0	0
599	0	0	0	0	0
610	0	0	0	0	0
620	0	0	0	0	0
634	0	0	0	0	0
644	0	0	0	0	0
660	0	0	0	0	0
665	0	0	0	0	0
670	0	0	0	0	0
674	0	0	0	0	0
685	0	0	0	0	0
690	0	0	0	0	0
