depth	min95%	max95%	best	acc.rate
5	-97	96	0	9.78
10	-44	140	49	9.78
15	13	183	97	9.78
20	67	224	146	9.78
25	120	267	195	9.78
30	174	313	244	9.78
35	224	359	293	9.78
40	274	406	342	9.78
45	322	457	391	9.78
50	374	508	440	9.78
55	422	560	489	9.78
60	469	612	538	9.78
65	515	668	586	9.78
70	559	724	635	14.97
75	635	793	710	14.97
80	709	863	785	14.97
85	785	935	860	14.97
90	858	1013	935	14.97
95	930	1093	1009	14.97
100	1004	1176	1084	14.97
105	1076	1260	1159	14.97
110	1147	1345	1234	14.97
115	1219	1430	1309	14.97
120	1289	1514	1384	14.97
125	1361	1598	1458	14.97
130	1430	1684	1533	14.97
135	1500	1770	1608	14.97
140	1569	1856	1683	14.97
145	1637	1941	1758	14.97
150	1703	2025	1833	14.97
155	1769	2113	1907	14.97
160	1838	2200	1982	14.97
165	1905	2286	2057	14.97
170	1971	2374	2132	14.97
175	2035	2461	2207	14.97
180	2104	2547	2282	14.97
185	2172	2634	2356	14.97
190	2238	2719	2431	14.97
195	2304	2805	2506	14.97
200	2370	2891	2581	14.97
205	2437	2978	2656	14.97
210	2503	3065	2730	NA
