depth	min95%	max95%	best	acc.rate
5	-49	4	-40	8.09
10	-18	48	0	8.05
20	42	130	80	7.81
30	99	219	156	7.35
40	154	307	227	6.65
50	205	385	290	5.88
60	252	450	345	5.16
70	296	510	394	4.5
80	338	556	436	3.9
90	374	598	473	3.35
100	408	628	504	2.86
110	437	650	531	2.43
120	463	667	553	2.05
130	488	679	572	1.73
140	508	687	588	1.47
150	529	702	602	1.26
160	548	705	614	1.11
170	562	710	625	1.02
180	568	719	634	0.98
190	564	733	644	0.96
205	538	750	658	0.9
210	526	753	663	0.87
220	498	765	671	0.81
230	476	776	679	0.74
240	452	788	686	0.65
250	430	813	692	0.55
260	409	833	697	0.43
270	389	868	701	0.3
280	374	926	703	0.2
290	365	999	705	0.31
300	362	1079	710	0.66
310	371	1171	719	1.25
320	384	1272	735	2.08
330	410	1379	760	3.15
340	454	1490	797	4.46
350	523	1620	849	6.01
360	601	1756	917	7.8
370	711	1903	1004	9.84
380	847	2062	1112	12.11
390	1007	2232	1244	14.62
400	1195	2412	1403	17.38
410	1386	2599	1590	20.37
420	1567	2802	1807	23.38
430	1734	2997	2053	26.04
440	1920	3193	2324	28.33
450	2112	3398	2616	30.25
460	2314	3601	2926	31.8
470	2528	3826	3250	32.99
480	2747	4078	3584	33.81
490	2963	4343	3924	34.26
500	3181	4692	4267	NA
