depth	min95%	max95%	best	acc.rate
5	-52	-8	-47	13.09
10	3	55	18	13.09
20	108	188	149	13.09
30	213	343	280	13.09
40	318	498	411	1.34
50	338	505	424	1.34
60	357	513	437	1.34
70	376	523	451	1.34
80	394	534	464	1.34
90	411	544	478	1.34
100	427	555	491	1.34
110	442	566	505	1.34
120	458	577	518	1.34
130	473	589	532	1.34
140	488	602	545	1.34
150	502	615	558	1.34
160	514	628	572	1.34
170	525	644	585	1.34
180	534	660	599	2.95
190	567	685	628	2.95
205	613	727	673	2.95
210	627	741	687	2.95
220	656	773	717	2.95
230	683	806	746	2.95
240	708	838	776	2.95
250	733	872	805	2.95
260	757	907	835	2.95
270	780	945	865	2.95
280	811	979	896	3.38
290	851	1008	930	3.38
300	890	1036	964	3.38
310	929	1067	997	3.38
320	969	1099	1031	3.38
330	1007	1129	1065	3.38
340	1044	1161	1099	3.38
350	1079	1193	1133	3.38
360	1117	1226	1166	3.38
370	1153	1263	1200	3.38
380	1188	1301	1234	3.38
390	1221	1333	1268	3.38
400	1254	1366	1301	3.38
410	1285	1402	1335	3.38
420	1609	1726	1658	39.55
430	1995	2125	2054	39.55
440	2376	2530	2449	39.55
450	2758	2937	2845	39.55
460	3138	3351	3240	39.55
470	3512	3771	3636	39.55
480	3890	4192	4031	39.55
490	4264	4611	4426	39.55
500	4640	5030	4822	NA
