depth	min95%	max95%	best	acc.rate
0	-7293	-5868	-6570	49.36
1	-7240	-5822	-6521	49.36
2	-7188	-5775	-6472	49.36
3	-7136	-5729	-6422	49.36
4	-7084	-5682	-6373	49.36
5	-7031	-5636	-6323	49.36
6	-6979	-5589	-6274	49.36
7	-6927	-5543	-6225	49.36
8	-6874	-5496	-6175	49.36
9	-6822	-5450	-6126	49.36
10	-6770	-5403	-6077	49.36
11	-6718	-5357	-6027	49.36
12	-6665	-5310	-5978	49.36
13	-6613	-5264	-5929	49.36
14	-6561	-5217	-5879	49.36
15	-6509	-5171	-5830	49.36
16	-6456	-5125	-5781	49.36
17	-6404	-5078	-5731	49.36
18	-6352	-5031	-5682	49.36
19	-6299	-4985	-5632	49.36
20	-6247	-4938	-5583	49.36
21	-6195	-4892	-5534	49.36
22	-6143	-4845	-5484	49.36
23	-6090	-4799	-5435	49.36
24	-6038	-4752	-5386	49.36
25	-5986	-4705	-5336	49.36
26	-5934	-4659	-5287	49.36
27	-5881	-4612	-5238	49.36
28	-5829	-4566	-5188	49.36
29	-5777	-4519	-5139	49.36
30	-5724	-4473	-5090	49.36
31	-5672	-4426	-5040	49.36
32	-5620	-4380	-4991	49.36
33	-5568	-4333	-4941	49.36
34	-5515	-4287	-4892	49.36
35	-5463	-4240	-4843	49.36
36	-5411	-4193	-4793	49.36
37	-5359	-4147	-4744	49.36
38	-5306	-4100	-4695	49.36
39	-5254	-4053	-4645	49.36
40	-5202	-4007	-4596	49.36
41	-5149	-3960	-4547	49.36
42	-5097	-3914	-4497	49.36
43	-5045	-3867	-4448	49.36
44	-4993	-3821	-4399	49.36
45	-4940	-3774	-4349	49.36
46	-4888	-3727	-4300	49.36
47	-4836	-3681	-4250	49.36
48	-4783	-3634	-4201	49.36
49	-4731	-3588	-4152	49.36
50	-4679	-3541	-4102	49.36
51	-4627	-3495	-4053	49.36
52	-4574	-3448	-4004	49.36
53	-4522	-3402	-3954	49.36
54	-4470	-3355	-3905	49.36
55	-4417	-3308	-3856	49.36
