"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
1	0	1	1	1	3
2	0	1	1	1	3
3	0	1	1	1	3
4	0	1	1	1	3
5	0	1	1	1	3
6	0	1	1	1	3
7	0	1	1	1	3
8	0	1	1	1	3
9	0	1	1	1	3
10	0	1	1	1	3
11	0	1	1	1	3
12	0	1	1	1	3
13	0	1	1	1	3
14	0	1	1	1	3
15	0	1	1	1	3
16	0	1	1	1	3
17	0	1	1	1	3
18	0	1	1	1	3
19	0	1	1	1	3
20	0	1	1	1	3
21	0	1	1	1	3
22	0	1	1	1	3
23	0	1	1	1	3
24	0	1	1	1	3
25	0	1	1	1	3
26	0	1	1	1	3
27	0	1	1	1	3
28	0	1	1	1	3
29	0	1	1	1	3
30	0	1	1	1	3
31	0	1	1	1	3
32	0	1	1	1	3
33	0	1	1	1	3
34	0	1	1	1	3
35	0	1	1	1	3
36	0	1	1	1	3
37	0	1	1	0	2
38	0	1	1	0	2
39	0	1	1	0	2
40	0	1	1	0	2
41	0	1	1	0	2
42	0	1	1	0	2
43	0	1	1	0	2
44	0	1	1	0	2
45	0	1	1	0	2
46	0	1	1	0	2
47	0	1	1	0	2
48	0	1	1	0	2
49	0	1	1	0	2
50	0	1	1	0	2
51	0	1	1	0	2
52	0	1	1	0	2
53	0	1	1	0	2
54	0	1	1	0	2
55	0	1	1	0	2
56	0	1	1	0	2
57	0	1	1	0	2
58	0	1	1	0	2
59	0	1	1	0	2
60	0	1	1	0	2
61	0	1	1	0	2
62	0	1	1	0	2
63	0	1	1	0	2
64	0	1	1	0	2
65	0	1	1	0	2
66	0	1	1	0	2
67	0	1	1	0	2
68	0	1	1	0	2
69	0	1	1	0	2
70	0	1	1	0	2
71	0	1	1	0	2
72	0	1	1	0	2
73	0	1	0	0	1
74	0	1	0	0	1
75	0	1	0	0	1
76	0	1	0	0	1
77	0	1	0	0	1
78	0	1	0	0	1
79	0	1	0	0	1
80	0	1	0	0	1
81	0	1	0	0	1
82	0	1	0	0	1
83	0	1	0	0	1
84	0	1	0	0	1
85	0	1	0	0	1
86	0	1	0	0	1
87	0	1	0	0	1
88	0	1	0	0	1
89	0	1	0	0	1
90	0	1	0	0	1
91	0	1	0	0	1
92	0	1	0	0	1
93	0	1	0	0	1
94	0	1	0	0	1
95	0	1	0	0	1
96	0	1	0	0	1
97	0	1	0	0	1
98	0	1	0	0	1
99	0	1	0	0	1
100	0	1	0	0	1
101	0	1	0	0	1
102	0	1	0	0	1
103	0	1	0	0	1
104	0	1	0	0	1
105	0	1	0	0	1
106	0	1	0	0	1
107	0	1	0	0	1
108	0	1	0	0	1
109	0	1	0	0	1
110	0	1	0	0	1
111	0	1	0	0	1
112	0	1	1	1	3
113	0	1	1	1	3
114	0	1	1	1	3
115	0	1	1	1	3
116	0	1	1	1	3
117	0	1	1	1	3
118	0	1	1	1	3
119	0	1	1	1	3
120	0	1	1	1	3
121	0	1	1	1	3
122	0	1	1	1	3
123	0	1	1	1	3
124	0	1	1	1	3
125	0	1	1	1	3
126	0	1	1	1	3
127	0	1	1	1	3
128	0	1	1	1	3
129	0	1	1	1	3
130	0	1	1	1	3
131	0	1	1	1	3
132	0	1	1	1	3
133	0	1	1	1	3
134	0	1	1	1	3
135	0	1	1	1	3
136	0	1	1	1	3
137	0	1	1	1	3
138	0	1	1	1	3
139	0	1	1	1	3
140	0	1	1	1	3
141	0	1	1	1	3
142	0	1	1	1	3
143	0	1	1	1	3
144	0	1	1	1	3
145	0	1	1	1	3
146	0	1	1	1	3
147	0	1	1	1	3
148	0	1	1	1	3
149	0	1	1	1	3
150	0	1	1	1	3
151	0	1	1	1	3
152	0	1	1	1	3
153	0	1	1	1	3
154	0	1	1	1	3
155	0	1	1	1	3
156	0	1	1	1	3
157	0	1	1	1	3
158	0	1	1	1	3
159	0	1	1	1	3
160	0	1	1	1	3
161	0	1	1	1	3
162	0	1	1	1	3
163	0	1	1	1	3
164	0	1	1	1	3
165	0	1	1	1	3
166	0	1	1	1	3
167	0	1	1	1	3
168	0	1	1	1	3
169	0	1	1	1	3
170	0	1	1	1	3
171	0	1	1	1	3
172	0	1	1	1	3
173	0	1	1	1	3
174	0	1	1	1	3
175	0	1	1	1	3
176	0	1	1	1	3
177	0	1	1	1	3
178	0	1	1	1	3
179	0	1	1	1	3
180	0	1	1	1	3
181	0	1	1	1	3
182	0	1	1	1	3
183	0	1	1	1	3
184	0	1	1	1	3
185	0	1	1	1	3
186	0	1	1	1	3
187	0	1	1	1	3
188	0	1	1	1	3
189	0	1	1	1	3
190	0	1	1	1	3
191	0	1	1	1	3
192	0	1	1	1	3
193	0	1	1	1	3
194	0	1	1	1	3
195	0	1	1	0	2
196	0	1	1	0	2
197	0	1	1	0	2
198	0	1	1	0	2
199	0	1	1	0	2
200	0	1	1	0	2
201	0	1	1	0	2
202	0	1	1	0	2
203	0	1	1	0	2
204	0	1	1	0	2
205	0	1	1	0	2
206	0	1	0	0	1
207	0	1	0	0	1
208	0	1	0	0	1
209	0	1	0	0	1
210	0	1	0	0	1
211	0	1	0	0	1
212	0	1	0	0	1
213	0	1	0	0	1
214	0	1	0	0	1
215	0	1	0	0	1
216	0	1	0	0	1
217	0	1	0	0	1
218	0	1	0	0	1
219	0	1	0	0	1
220	0	1	0	0	1
221	0	1	0	0	1
222	0	1	0	0	1
223	0	1	0	0	1
224	0	1	0	0	1
225	0	1	0	0	1
226	0	0	0	0	0
227	0	0	0	0	0
228	0	0	0	0	0
229	0	0	0	0	0
230	0	0	0	0	0
231	0	0	0	0	0
232	0	0	0	0	0
233	0	0	0	0	0
234	0	0	0	0	0
235	0	0	0	0	0
236	0	0	0	0	0
237	0	1	0	0	1
238	0	1	0	0	1
239	0	1	0	0	1
240	0	1	0	0	1
241	0	1	0	0	1
242	0	1	0	0	1
243	0	1	0	0	1
244	0	1	0	0	1
245	0	1	0	0	1
246	0	1	0	0	1
247	0	1	0	0	1
248	0	1	0	0	1
249	0	1	0	0	1
250	0	1	0	0	1
251	0	1	0	0	1
252	0	1	0	0	1
253	0	1	0	0	1
254	0	1	0	0	1
255	0	1	0	0	1
256	0	1	0	0	1
257	0	1	1	1	3
258	0	1	1	1	3
259	0	1	1	1	3
260	0	1	1	1	3
261	0	1	1	1	3
262	0	1	1	1	3
263	0	1	1	1	3
264	0	1	1	1	3
265	0	1	1	1	3
266	0	1	1	1	3
267	0	1	1	1	3
268	0	1	1	1	3
269	0	1	1	1	3
270	0	1	1	1	3
271	0	1	1	1	3
272	0	1	1	1	3
273	0	1	1	1	3
274	0	1	1	1	3
275	0	1	1	1	3
276	0	1	1	1	3
277	0	1	1	1	3
278	0	1	1	1	3
279	0	1	1	1	3
280	0	1	1	1	3
281	0	1	1	1	3
282	0	1	1	1	3
283	0	1	1	1	3
284	0	1	1	1	3
285	0	1	1	1	3
286	0	1	1	1	3
287	0	1	1	1	3
288	0	1	1	0	2
289	0	1	1	0	2
290	0	1	1	0	2
291	0	1	1	0	2
292	0	1	1	0	2
293	0	1	1	0	2
294	0	1	1	0	2
295	0	1	1	0	2
296	0	1	1	0	2
297	0	1	1	0	2
298	0	1	0	0	1
299	0	1	0	0	1
300	0	1	0	0	1
301	0	1	0	0	1
302	0	1	0	0	1
303	0	1	0	0	1
304	0	1	0	0	1
305	0	1	0	0	1
306	0	1	0	0	1
307	0	1	0	0	1
308	0	1	0	0	1
309	0	1	0	0	1
310	0	1	0	0	1
311	0	1	0	0	1
312	0	1	0	0	1
313	0	1	0	0	1
314	0	1	0	0	1
315	0	1	0	0	1
316	0	1	0	0	1
317	0	1	0	0	1
318	0	0	0	0	0
319	0	0	0	0	0
320	0	0	0	0	0
321	0	0	0	0	0
322	0	0	0	0	0
323	0	0	0	0	0
324	0	0	0	0	0
325	0	0	0	0	0
326	0	0	0	0	0
327	0	0	0	0	0
328	0	0	0	0	0
329	0	0	0	0	0
330	0	0	0	0	0
331	0	0	0	0	0
332	0	0	0	0	0
333	0	0	0	0	0
334	0	0	0	0	0
335	0	0	0	0	0
336	0	0	0	0	0
337	0	0	0	0	0
338	0	0	0	0	0
339	0	0	0	0	0
340	0	0	0	0	0
341	0	0	0	0	0
342	0	0	0	0	0
343	0	0	0	0	0
344	0	0	0	0	0
345	0	0	0	0	0
346	0	0	0	0	0
347	0	0	0	0	0
348	0	0	0	0	0
349	0	0	0	0	0
350	0	0	0	0	0
355	0	0	0	0	0
360	0	0	0	0	0
365	0	0	0	0	0
370	0	0	0	0	0
375	0	0	0	0	0
380	0	0	0	0	0
385	0	0	0	0	0
390	0	0	0	0	0
395	0	0	0	0	0
