depth	min95%	max95%	best	acc.rate
0	-876	-88	-474	5.65
1	-868	-85	-468	5.65
2	-860	-82	-463	5.65
3	-852	-79	-457	5.65
4	-844	-75	-451	5.65
5	-836	-72	-446	5.65
6	-827	-69	-440	5.65
7	-819	-66	-434	5.65
8	-811	-63	-429	5.65
9	-803	-60	-423	5.65
10	-795	-57	-417	5.65
11	-787	-53	-412	5.65
12	-779	-50	-406	5.65
13	-771	-47	-400	5.65
14	-763	-44	-395	5.65
15	-755	-41	-389	5.65
16	-748	-38	-383	5.65
17	-740	-35	-378	5.65
18	-732	-31	-372	5.65
19	-724	-28	-367	5.65
20	-716	-25	-361	5.65
21	-708	-22	-355	5.65
22	-700	-19	-350	5.65
23	-692	-16	-344	5.65
24	-684	-13	-338	5.65
25	-676	-9	-333	5.65
26	-668	-6	-327	5.65
27	-659	-3	-321	5.65
28	-651	0	-316	5.65
29	-643	3	-310	5.65
30	-635	6	-304	5.65
31	-627	10	-299	5.65
32	-619	13	-293	5.65
33	-611	16	-287	5.65
34	-603	19	-282	5.65
35	-595	22	-276	5.65
36	-587	25	-271	5.65
37	-579	28	-265	5.65
38	-571	32	-259	5.65
39	-563	35	-254	5.65
40	-555	38	-248	5.65
41	-547	41	-242	5.65
42	-539	44	-237	5.65
43	-531	47	-231	5.65
44	-523	50	-225	5.65
45	-515	54	-220	5.65
46	-507	57	-214	5.65
47	-499	60	-208	5.65
48	-491	63	-203	5.65
49	-483	66	-197	5.65
50	-475	69	-191	5.65
51	-467	72	-186	5.65
52	-459	76	-180	5.65
53	-451	79	-175	5.65
54	-443	82	-169	5.65
55	-435	85	-163	5.65
56	-427	88	-158	5.65
57	-419	91	-152	5.65
58	-411	94	-146	5.65
59	-403	98	-141	5.65
60	-395	101	-135	5.65
61	-387	104	-129	5.65
62	-379	107	-124	5.65
63	-371	111	-118	5.65
64	-363	114	-112	5.65
65	-355	117	-107	5.65
66	-347	120	-101	5.65
67	-339	123	-95	5.65
68	-331	127	-90	5.65
69	-323	130	-84	5.65
70	-315	133	-79	5.65
71	-307	136	-73	5.65
72	-299	140	-67	5.65
73	-291	143	-62	5.65
74	-283	146	-56	5.65
75	-275	149	-50	5.65
76	-267	152	-45	5.65
77	-259	155	-39	5.65
78	-251	159	-33	5.65
79	-243	162	-28	5.65
80	-235	166	-22	5.65
81	-227	169	-16	5.65
82	-219	172	-11	5.65
83	-211	176	-5	5.65
84	-203	180	1	5.65
85	-195	183	6	5.65
86	-187	187	12	5.65
87	-179	191	17	5.65
88	-171	194	23	5.65
89	-162	197	29	5.65
90	-154	200	34	5.65
91	-146	204	40	5.65
92	-138	208	46	5.65
93	-130	211	51	5.65
94	-122	215	57	5.65
95	-114	219	63	5.65
96	-106	223	68	5.65
97	-99	227	74	5.65
98	-91	231	80	5.65
99	-83	235	85	5.65
100	-75	238	91	5.65
101	-67	242	97	5.65
102	-59	246	102	5.65
103	-51	250	108	5.65
104	-43	254	113	5.65
105	-35	258	119	5.65
106	-28	262	125	5.65
107	-21	266	130	5.65
108	-13	270	136	5.65
109	-5	274	142	5.65
110	3	278	147	5.65
111	11	282	153	5.65
112	18	286	159	5.65
113	26	290	164	5.65
114	34	294	170	5.65
115	41	298	176	5.65
116	49	303	181	5.65
117	57	307	187	5.65
118	64	311	193	5.65
119	71	315	198	5.66
120	78	319	204	5.66
121	85	323	210	5.66
122	91	328	215	5.66
123	98	332	221	5.67
124	104	337	227	5.67
125	111	341	232	5.67
126	118	345	238	5.67
127	124	350	244	5.68
128	131	354	249	5.68
129	138	358	255	5.69
130	144	362	261	5.69
131	151	367	266	5.69
132	158	371	272	5.7
133	165	375	278	5.7
134	171	380	283	5.71
135	178	384	289	5.71
136	185	388	295	5.72
137	191	393	301	5.73
138	198	397	306	5.73
139	205	402	312	5.74
140	212	406	318	5.74
141	218	411	323	5.75
142	225	415	329	5.76
143	231	420	335	5.76
144	238	424	341	5.77
145	245	429	346	5.78
146	252	433	352	5.79
147	258	438	358	5.79
148	265	443	364	5.8
149	271	448	370	5.81
150	278	453	375	5.82
151	284	458	381	5.83
152	291	462	387	5.84
153	297	467	393	5.85
154	304	472	399	5.85
155	310	476	405	5.86
156	317	481	411	5.87
157	324	486	416	5.88
158	330	490	422	5.89
159	337	495	428	5.9
160	343	500	434	5.91
161	350	505	440	5.93
162	356	510	446	5.94
163	363	515	452	5.95
164	369	520	458	5.96
165	376	525	464	5.97
166	382	530	470	5.98
167	389	535	476	5.99
168	396	541	482	6.01
169	402	547	488	6.02
170	409	552	494	6.03
171	416	557	500	6.04
172	423	562	506	6.06
173	429	568	512	6.07
174	436	573	518	6.08
175	442	578	524	6.1
176	449	583	530	6.11
177	456	588	536	6.13
178	463	594	542	6.14
179	470	600	548	6.15
180	477	605	555	6.17
181	484	610	561	6.18
182	491	616	567	6.2
183	497	621	573	6.22
184	504	627	579	6.23
185	511	633	586	6.25
186	517	639	592	6.26
187	524	646	598	6.28
188	531	652	604	6.3
189	538	658	611	6.31
190	545	664	617	6.33
191	551	671	623	6.35
192	558	677	630	6.36
193	564	683	636	6.38
194	571	690	642	6.4
195	577	696	649	6.42
196	583	702	655	6.43
197	589	709	662	6.45
198	595	715	668	6.47
199	601	722	675	6.48
200	607	729	681	6.5
201	613	736	688	6.52
202	619	743	694	6.53
203	625	750	701	6.55
204	631	757	707	6.57
205	637	764	714	6.58
206	643	772	720	6.6
207	649	779	727	6.61
208	655	787	734	6.63
209	661	794	740	6.64
210	667	801	747	6.66
211	673	809	753	6.67
212	679	816	760	6.69
213	686	824	767	6.7
214	692	831	774	6.72
215	698	838	780	6.73
216	704	846	787	6.75
217	710	853	794	6.76
218	717	860	801	6.77
219	723	868	807	6.79
220	730	875	814	6.8
221	737	882	821	6.81
222	743	889	828	6.83
223	750	896	835	6.84
224	756	904	841	6.85
225	762	911	848	6.86
226	769	918	855	6.88
227	776	925	862	6.89
228	782	933	869	6.9
229	789	940	876	6.91
230	796	947	883	6.92
231	803	954	890	6.93
232	810	961	896	6.95
233	816	968	903	6.96
234	823	976	910	6.97
235	829	983	917	6.98
236	836	990	924	6.99
237	843	998	931	7
238	850	1005	938	7.01
239	857	1011	945	7.02
240	864	1018	952	7.03
241	871	1026	959	7.04
242	878	1033	966	7.05
243	885	1040	973	7.06
244	893	1047	981	7.07
245	900	1054	988	7.08
246	907	1061	995	7.09
247	914	1068	1002	7.09
248	921	1075	1009	7.1
249	928	1082	1016	7.11
250	936	1090	1023	7.12
251	943	1097	1030	7.13
252	951	1104	1037	7.14
253	958	1111	1044	7.14
254	966	1118	1052	7.15
255	973	1125	1059	7.16
256	981	1132	1066	7.17
257	988	1140	1073	7.17
258	996	1147	1080	7.18
259	1003	1154	1087	7.19
260	1010	1161	1095	7.19
261	1017	1168	1102	7.2
262	1024	1175	1109	7.2
263	1031	1183	1116	7.21
264	1039	1190	1123	7.22
265	1046	1197	1131	7.22
266	1054	1205	1138	7.23
267	1061	1212	1145	7.23
268	1069	1219	1152	7.24
269	1076	1226	1160	7.24
270	1084	1233	1167	7.25
271	1091	1240	1174	7.25
272	1099	1248	1181	7.26
273	1106	1255	1189	7.26
274	1114	1262	1196	7.27
275	1122	1269	1203	7.27
276	1129	1276	1210	7.27
277	1137	1283	1218	7.28
278	1145	1290	1225	7.28
279	1153	1297	1232	7.28
280	1161	1304	1239	7.29
281	1168	1311	1247	7.29
282	1175	1318	1254	7.29
283	1183	1325	1261	7.29
284	1191	1333	1269	7.3
285	1199	1340	1276	7.3
286	1207	1347	1283	7.3
287	1214	1354	1291	7.3
288	1222	1361	1298	7.31
289	1230	1368	1305	7.31
290	1238	1375	1312	7.31
291	1246	1382	1320	7.31
292	1254	1389	1327	7.31
293	1262	1396	1334	7.31
294	1270	1403	1342	7.31
295	1278	1410	1349	7.31
296	1286	1417	1356	7.31
297	1294	1424	1364	7.31
298	1302	1432	1371	7.31
299	1310	1439	1378	7.31
300	1318	1446	1386	7.31
301	1326	1453	1393	7.31
302	1334	1460	1400	7.31
