depth	min95%	max95%	best	acc.rate
28	380	574	479	20.18
33	483	672	580	20.18
38	586	773	681	20.18
43	689	876	782	20.18
48	792	976	883	20.18
53	894	1078	983	20.18
58	993	1179	1084	20.18
63	1092	1281	1185	20.18
68	1190	1384	1286	20.18
73	1290	1487	1387	20.18
78	1390	1589	1488	20.18
83	1489	1691	1589	20.18
88	1587	1793	1690	20.18
93	1684	1895	1790	20.18
98	1780	1998	1891	20.18
103	1879	2100	1992	20.18
108	1975	2203	2093	20.18
113	2073	2308	2194	20.18
118	2170	2412	2295	20.18
123	2268	2518	2396	20.18
128	2366	2622	2497	20.18
133	2459	2725	2598	20.18
138	2554	2830	2698	20.18
143	2651	2934	2799	20.18
148	2749	3039	2900	20.18
153	2847	3146	3001	20.18
158	2942	3252	3102	20.18
163	3037	3359	3203	20.18
168	3132	3466	3304	20.18
173	3228	3573	3405	20.18
178	3327	3678	3505	20.18
183	3423	3785	3606	20.18
188	3518	3892	3707	20.18
193	3612	3998	3808	20.18
198	3707	4105	3909	20.18
203	3803	4213	4010	20.18
208	3900	4319	4111	20.18
213	3995	4426	4212	20.18
218	4091	4531	4313	20.18
223	4187	4636	4413	20.18
228	4283	4742	4514	20.18
233	4375	4849	4615	20.18
238	4468	4957	4716	20.18
243	4561	5065	4817	20.18
248	4657	5172	4918	20.18
253	4753	5279	5019	20.18
258	4849	5386	5120	20.18
263	4945	5494	5220	20.18
268	5041	5600	5321	20.18
273	5135	5706	5422	20.18
278	5232	5813	5523	20.18
283	5328	5920	5624	20.18
288	5424	6027	5725	20.18
293	5521	6133	5826	20.18
298	5617	6241	5927	20.18
303	5714	6348	6028	20.18
308	5809	6455	6128	20.18
313	5904	6563	6229	20.18
318	5999	6668	6330	20.18
323	6094	6774	6431	20.18
328	6188	6882	6532	20.18
333	6283	6990	6633	20.18
338	6378	7096	6734	20.18
343	6473	7203	6835	20.18
348	6569	7309	6935	1301.36
373	8781	9375	9091	35.58
378	7334	11514	9568	33.84
383	7549	11634	9738	33.84
388	7765	11751	9907	33.84
393	7981	11870	10076	33.84
398	8195	11993	10245	33.84
403	8406	12113	10414	33.84
408	8617	12234	10584	33.84
413	8828	12355	10753	33.84
418	9039	12477	10922	33.84
423	9253	12598	11091	33.84
428	9485	12719	11260	33.84
433	9712	12840	11430	33.84
438	9928	12961	11599	33.84
443	10144	13087	11768	33.84
448	10362	13214	11937	33.84
453	10586	13347	12106	33.84
458	10811	13474	12276	33.84
463	11035	13603	12445	33.84
468	11260	13732	12614	33.84
473	11480	13861	12783	33.84
478	11690	13986	12952	33.84
483	11909	14115	13122	33.84
488	12122	14249	13291	33.84
493	12329	14379	13460	33.84
498	12536	14509	13629	33.84
503	12749	14638	13799	33.84
508	12959	14763	13968	33.84
513	13169	14886	14137	33.84
518	13385	15014	14306	33.84
523	13601	15148	14475	33.84
528	13816	15290	14645	33.84
533	14011	15422	14814	33.84
538	14215	15569	14983	33.84
543	14424	15719	15152	33.84
548	14634	15854	15321	33.84
553	14857	15987	15491	33.84
558	15074	16134	15660	33.84
563	15265	16280	15829	33.84
568	15470	16435	15998	33.84
573	15645	16594	16167	33.84
578	15831	16756	16337	33.84
583	16022	16925	16506	33.84
588	16212	17099	16675	33.84
593	16392	17273	16844	33.84
598	16571	17453	17013	33.84
603	16721	17642	17183	33.84
608	16865	17846	17352	33.84
613	17014	18043	17521	33.84
618	17164	18248	17690	33.84
623	17306	18441	17860	33.84
628	17451	18640	18029	33.84
633	17594	18839	18198	33.84
638	17723	19042	18367	33.84
643	17839	19236	18519	NA
