"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
28	0	1	1	1	3
33	0	1	1	1	3
38	0	1	1	1	3
43	0	1	1	1	3
48	0	1	1	1	3
53	0	1	1	0	2
58	0	1	1	0	2
63	0	1	1	0	2
68	0	1	1	0	2
73	0	1	1	0	2
78	0	1	0	0	1
83	0	1	0	0	1
88	0	1	0	0	1
93	0	1	0	0	1
98	0	1	0	0	1
103	0	1	0	0	1
108	0	1	0	0	1
113	0	1	0	0	1
118	0	1	0	0	1
123	0	1	0	0	1
128	0	0	0	0	0
133	0	0	0	0	0
138	0	0	0	0	0
143	0	0	0	0	0
148	0	0	0	0	0
153	0	0	0	0	0
158	0	0	0	0	0
163	0	0	0	0	0
168	0	1	0	0	1
173	0	1	0	0	1
178	0	1	0	0	1
183	0	1	0	0	1
188	0	1	0	0	1
193	0	1	0	0	1
198	0	1	0	0	1
203	0	1	0	0	1
208	0	1	0	0	1
213	0	1	0	0	1
218	0	1	1	1	3
223	0	1	1	1	3
228	0	1	1	1	3
233	0	1	1	1	3
238	0	1	1	1	3
243	0	1	1	1	3
248	0	1	1	1	3
253	0	1	1	1	3
258	0	1	1	1	3
263	0	1	1	1	3
268	0	1	1	1	3
273	0	1	1	1	3
278	0	1	1	1	3
283	0	1	1	1	3
288	0	1	1	1	3
293	0	1	1	0	2
298	0	1	1	0	2
303	0	1	1	0	2
308	0	1	1	0	2
313	0	1	1	0	2
318	0	1	0	0	1
323	0	1	0	0	1
328	0	1	0	0	1
333	0	1	0	0	1
338	0	1	0	0	1
343	0	1	0	0	1
348	0	1	0	0	1
373	0	0	0	0	0
378	0	0	0	0	0
383	0	0	0	0	0
388	0	0	0	0	0
393	0	0	0	0	0
398	0	0	0	0	0
403	0	0	0	0	0
408	0	0	0	0	0
413	0	0	0	0	0
418	0	0	0	0	0
423	0	0	0	0	0
428	0	0	0	0	0
433	0	0	0	0	0
438	0	0	0	0	0
443	0	0	0	0	0
448	0	0	0	0	0
453	0	0	0	0	0
458	0	0	0	0	0
463	0	0	0	0	0
468	0	0	0	0	0
473	0	0	0	0	0
478	0	0	0	0	0
483	0	0	0	0	0
488	0	0	0	0	0
493	0	1	0	0	1
498	0	1	0	0	1
503	0	1	0	0	1
508	0	1	0	0	1
513	0	1	0	0	1
518	0	1	0	0	1
523	0	1	1	1	3
528	0	1	1	1	3
533	0	1	1	1	3
538	0	1	1	1	3
543	0	1	1	1	3
548	0	1	1	1	3
553	0	1	1	1	3
558	0	1	1	1	3
563	0	1	1	0	2
568	0	1	1	0	2
573	0	1	1	0	2
578	0	1	0	0	1
583	0	1	0	0	1
588	0	1	0	0	1
593	0	1	0	0	1
598	0	1	0	0	1
603	0	1	0	0	1
608	0	1	0	0	1
613	0	1	1	1	3
618	0	1	1	1	3
623	0	1	1	1	3
628	0	1	1	1	3
633	0	1	1	1	3
638	0	1	1	1	3
643	0	1	1	1	3
