depth	min95%	max95%	best	acc.rate
0	-7056	-6464	-6768	181.62
10	-5184	-4711	-4952	181.62
20	-3308	-2955	-3136	181.62
30	-1436	-1195	-1320	181.62
40	340	485	406	181.62
50	2141	2302	2222	181.62
60	3918	4149	4038	181.62
70	5691	6014	5854	181.62
80	7156	7537	7349	53.06
90	7712	8033	7880	53.06
100	8230	8567	8410	53.06
108	8635	9028	8835	53.06
113	8887	9325	9100	53.06
118	9295	9756	9518	114.15
123	9840	10347	10089	114.15
128	10387	10962	10659	114.15
133	10898	11601	11230	114.15
138	11402	12241	11801	114.15
143	11891	12915	12372	114.15
148	12388	13589	12942	114.15
153	12879	14256	13513	114.15
158	13377	14933	14084	114.15
163	13920	15613	14693	192.23
168	14974	16457	15655	192.23
173	15961	17337	16616	192.23
178	16861	18370	17577	192.23
183	17696	19490	18538	192.23
188	18485	20627	19499	192.23
193	19217	21777	20460	192.23
198	19786	22393	21053	45.03
203	20152	22546	21279	45.03
208	20501	22637	21504	45.03
218	21074	23026	21954	45.03
228	21503	23481	22405	45.03
238	21767	24147	22841	16.57
248	22017	24229	23006	16.57
258	22212	24297	23172	16.57
268	22424	24396	23338	16.57
278	22542	24540	23503	16.57
288	22681	24733	23669	16.57
298	22763	24989	23835	16.57
308	22837	25163	24000	16.57
318	22873	25426	24166	16.57
328	23046	25853	24398	149.2
338	24682	27181	25890	149.2
348	26045	28826	27382	149.2
358	27258	30661	28874	149.2
368	28325	32732	30366	149.2
378	29040	33908	31293	46.33
388	29523	34554	31756	46.33
398	29806	35481	32219	46.33
408	29970	36487	32683	46.33
418	30151	37847	33146	46.33
428	30371	39011	33609	46.33
438	30512	40355	34073	46.33
448	30589	41707	34513	46.33
458	30633	43248	34976	46.33
468	30688	44458	35439	46.33
478	30765	45669	35903	46.33
488	30812	46958	36366	46.33
498	30865	48260	36829	46.33
508	30956	49562	37293	46.33
518	30992	50877	37756	46.33
528	31068	52228	38219	NA
