depth	min95%	max95%	best	acc.rate
0	-841	-82	-210	-5.93
10	-698	-72	-251	0.24
20	-510	66	-179	17.8
30	-206	435	120	46.75
40	364	1154	760	86.94
50	1286	2286	1801	122.09
60	2447	3690	3120	141.02
70	3778	5170	4556	143.71
80	5126	6556	5946	131.15
90	6447	7847	7196	118.44
100	7716	9109	8342	110.82
108	8693	10033	9218	108.39
113	9273	10612	9760	108.53
118	9839	11162	10305	109.68
123	10416	11724	10855	110.77
128	10981	12281	11411	111.7
133	11526	12829	11971	112.46
138	12084	13386	12535	113.05
143	12631	13933	13101	113.47
148	13170	14491	13669	113.72
153	13701	15019	14238	113.8
158	14226	15581	14807	113.71
163	14734	16123	15375	113.44
168	15248	16635	15941	112.68
173	15759	17195	16501	111.26
178	16237	17720	17054	109.19
183	16725	18261	17595	106.47
188	17216	18812	18120	103.09
193	17703	19327	18628	99.07
198	18145	19805	19114	94.53
203	18566	20292	19578	90.03
208	18945	20762	20019	85.64
218	19748	21607	20837	77.17
228	20470	22368	21572	69.12
238	21139	23147	22229	61.49
248	21770	23825	22813	54.87
258	22236	24489	23337	49.66
268	22728	25133	23815	45.85
278	23140	25775	24262	43.46
288	23588	26335	24691	42.48
298	23965	26903	25116	42.9
308	24345	27442	25552	44.74
318	24735	27979	26013	47.98
328	25180	28506	26513	52.62
338	25668	29090	27060	56.92
348	26163	29635	27643	59.7
358	26650	30228	28246	60.95
368	27180	30831	28856	60.69
378	27683	31487	29457	59.22
388	28161	32112	30042	57.83
398	28683	32760	30615	56.67
408	29193	33569	31177	55.73
418	29592	34440	31731	55.01
428	29997	35372	32279	54.52
438	30335	36232	32823	54.26
448	30685	37087	33365	54.21
458	31000	37992	33907	54.21
468	31323	38905	34449	54.21
478	31654	39852	34991	54.21
488	31950	40724	35534	54.21
498	32192	41593	36076	54.21
508	32417	42487	36618	54.21
518	32680	43385	37160	54.21
528	32888	44283	37702	NA
