"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
10	0	1	1	1	3
20	0	1	1	1	3
30	0	1	1	1	3
40	1	1	1	1	4
50	1	1	0	0	2
60	1	0	0	0	1
70	1	1	1	1	4
80	1	1	1	1	4
90	1	1	0	0	2
100	1	1	0	0	2
108	1	1	1	1	4
113	1	1	1	1	4
118	1	1	1	1	4
123	1	1	1	0	3
128	1	1	0	0	2
133	1	1	0	0	2
138	1	0	0	0	1
143	1	0	0	0	1
148	1	1	0	0	2
153	1	1	0	0	2
158	1	1	1	1	4
163	1	1	1	1	4
168	1	1	1	0	3
173	1	1	0	0	2
178	1	1	0	0	2
183	1	1	0	0	2
188	1	1	1	1	4
193	1	1	1	1	4
198	1	1	1	1	4
203	1	1	1	0	3
208	1	1	0	0	2
218	1	1	0	0	2
228	1	1	1	1	4
238	1	1	1	1	4
248	1	1	1	0	3
258	1	1	0	0	2
268	1	1	0	0	2
278	1	0	0	0	1
288	1	0	0	0	1
298	1	1	0	0	2
308	1	1	0	0	2
318	1	1	1	1	4
328	1	1	1	1	4
338	1	1	1	1	4
348	1	1	1	0	3
358	1	1	0	0	2
368	1	1	1	1	4
378	1	1	1	1	4
388	1	1	1	0	3
398	1	1	0	0	2
408	1	1	0	0	2
418	1	0	0	0	1
428	1	1	0	0	2
438	1	1	1	1	4
448	0	1	1	1	3
458	0	1	1	1	3
468	0	1	1	0	2
478	0	1	0	0	1
488	0	1	0	0	1
498	0	0	0	0	0
508	0	0	0	0	0
518	0	0	0	0	0
528	0	0	0	0	0
