depth	min95%	max95%	best	acc.rate
4	-66	125	40	11.74
11	16	212	123	11.74
15	61	265	170	11.74
23	153	369	263	11.74
55	512	805	639	11.76
64	613	936	745	11.76
73	712	1059	851	11.77
82	813	1187	957	11.78
99	998	1418	1157	11.8
103	1041	1473	1205	11.8
109	1108	1554	1276	11.81
115	1176	1637	1346	11.82
119	1217	1690	1394	11.83
124	1270	1759	1453	11.83
128	1313	1813	1500	11.84
133	1366	1881	1559	11.85
137	1406	1935	1607	11.85
142	1459	2003	1666	11.86
146	1502	2057	1714	11.87
150	1544	2111	1761	11.88
156	1605	2191	1832	11.89
161	1657	2259	1892	11.9
165	1699	2312	1939	11.91
170	1752	2379	1999	11.92
177	1823	2473	2082	11.93
182	1875	2540	2142	11.94
186	1918	2593	2190	11.95
190	1962	2646	2238	11.96
194	2004	2699	2286	11.97
199	2057	2765	2346	11.99
209	2165	2894	2465	12.01
217	2255	2996	2562	12.03
223	2318	3076	2634	12.05
227	2359	3130	2682	12.06
231	2401	3183	2730	12.07
240	2495	3300	2839	12.1
244	2536	3351	2887	12.11
249	2588	3415	2948	12.13
253	2629	3466	2997	12.14
261	2713	3569	3094	12.16
274	2854	3728	3252	12.21
282	2939	3828	3350	12.24
286	2982	3877	3399	12.25
290	3025	3926	3448	12.26
299	3121	4036	3558	12.3
304	3175	4096	3620	12.31
314	3283	4216	3743	12.3
323	3377	4323	3854	12.26
329	3442	4393	3927	12.21
336	3517	4474	4012	12.14
342	3581	4544	4085	12.06
349	3655	4621	4169	11.96
353	3698	4664	4217	11.89
358	3751	4715	4276	11.79
369	3867	4827	4405	11.54
374	3920	4885	4462	11.41
378	3962	4930	4508	11.3
382	4004	4974	4553	11.19
387	4056	5027	4608	11.03
392	4106	5077	4663	10.87
397	4155	5127	4717	10.7
402	4206	5175	4770	10.53
408	4267	5242	4833	10.34
418	4370	5341	4935	10.04
424	4430	5398	4995	9.86
432	4510	5467	5073	9.64
438	4570	5520	5130	9.48
442	4609	5554	5168	9.37
449	4678	5620	5233	9.19
457	4755	5689	5306	9
463	4813	5740	5360	8.86
469	4871	5789	5412	8.73
474	4919	5834	5456	8.63
478	4957	5867	5490	8.54
485	5025	5925	5550	8.41
490	5073	5962	5591	8.32
496	5131	6005	5641	8.21
504	5208	6062	5706	8.08
511	5276	6111	5763	7.97
518	5345	6164	5818	7.87
524	5400	6200	5865	7.79
528	5438	6231	5896	7.75
537	5524	6292	5965	7.64
543	5582	6337	6011	7.58
549	5638	6380	6057	7.53
553	5675	6409	6087	7.5
560	5737	6455	6139	7.45
566	5791	6492	6184	7.41
574	5864	6538	6243	7.37
579	5911	6567	6279	7.35
584	5959	6605	6316	7.33
589	6008	6637	6353	7.32
593	6046	6664	6382	7.31
599	6102	6706	6426	7.3
628	6358	6891	6638	7.36
629	6367	6897	6645	7.36
635	6426	6934	6690	7.39
636	6436	6941	6697	7.4
639	6465	6959	6719	7.41
649	6557	7023	6794	7.48
653	6593	7049	6824	7.51
657	6628	7076	6854	7.55
664	6688	7124	6907	7.61
669	6734	7159	6945	7.67
671	6751	7172	6960	7.69
674	6775	7193	6983	7.72
681	6841	7242	7038	7.81
682	6850	7249	7046	7.82
689	6907	7297	7101	7.91
690	6916	7303	7108	7.93
694	6950	7331	7140	7.99
699	6992	7364	7180	8.06
703	7026	7391	7213	8.13
705	7046	7407	7229	8.16
710	7096	7446	7270	8.25
717	7164	7503	7328	8.37
720	7191	7526	7353	8.42
725	7236	7569	7395	8.52
730	7280	7610	7438	8.61
731	7289	7618	7447	8.63
736	7333	7660	7490	8.73
738	7351	7679	7508	8.76
742	7387	7716	7543	8.84
748	7442	7766	7596	8.97
752	7478	7799	7632	9.05
756	7515	7834	7669	9.13
761	7562	7881	7714	9.24
766	7609	7936	7761	9.35
767	7618	7944	7770	9.37
770	7648	7969	7798	9.44
773	7677	8000	7827	9.5
774	7687	8010	7836	9.53
778	7727	8049	7874	9.62
779	7736	8060	7884	9.64
783	7775	8099	7923	9.73
786	7803	8135	7952	9.8
791	7852	8190	8001	9.92
798	7920	8262	8071	10.09
799	7930	8272	8081	10.12
804	7978	8323	8132	10.24
807	8011	8354	8163	10.32
810	8040	8385	8194	10.39
811	8050	8395	8204	10.42
816	8103	8452	8257	10.55
819	8134	8487	8288	10.63
820	8143	8497	8299	10.65
823	8174	8532	8331	10.73
824	8184	8544	8342	10.75
828	8222	8590	8385	10.86
834	8286	8662	8451	11.01
838	8326	8705	8495	11.1
843	8373	8766	8551	11.23
848	8421	8824	8607	11.35
853	8473	8886	8664	11.46
859	8529	8959	8733	11.6
864	8581	9021	8791	11.72
869	8629	9082	8850	11.83
874	8681	9145	8909	11.94
879	8734	9209	8969	12.05
884	8784	9273	9030	12.16
890	8842	9352	9103	12.28
894	8885	9405	9152	12.36
900	8952	9482	9227	12.49
904	8997	9535	9277	12.57
910	9064	9615	9353	12.68
914	9110	9670	9403	12.76
918	9155	9729	9455	12.84
924	9224	9814	9532	12.95
928	9271	9869	9584	13.02
933	9328	9938	9649	13.11
937	9374	9994	9702	13.18
943	9444	10076	9781	13.28
948	9502	10146	9847	13.37
954	9573	10230	9928	13.47
960	9640	10316	10009	13.56
970	9744	10459	10145	13.72
974	9792	10517	10200	13.78
984	9892	10667	10339	13.92
992	9975	10784	10450	14.03
998	10047	10873	10535	14.11
1002	10096	10933	10591	14.16
1006	10145	10993	10648	14.21
1013	10230	11097	10748	14.3
1017	10280	11161	10805	14.34
1022	10338	11236	10877	14.4
1026	10381	11299	10935	14.45
1031	10441	11379	11007	14.5
1035	10490	11444	11065	14.54
1044	10599	11584	11196	14.64
1049	10660	11664	11269	14.68
1054	10722	11744	11343	14.73
1059	10784	11824	11417	14.77
1064	10845	11905	11491	14.82
1069	10906	11986	11565	14.86
1074	10966	12067	11639	14.9
1079	11025	12144	11714	14.93
1083	11073	12205	11774	14.96
1088	11133	12282	11848	15
1093	11197	12363	11923	15.03
1098	11261	12446	11999	15.06
1103	11326	12528	12074	15.09
1109	11404	12628	12165	15.12
1118	11520	12787	12301	15.16
1123	11585	12870	12377	15.18
1129	11661	12969	12468	15.21
1134	11724	13050	12544	15.23
1143	11839	13195	12681	15.25
1148	11900	13278	12757	15.27
1153	11961	13355	12834	15.28
1159	12034	13456	12925	15.29
1163	12082	13524	12987	15.29
1168	12143	13608	13063	15.3
1172	12192	13675	13124	15.3
1177	12252	13760	13201	15.3
1185	12350	13896	13323	NA
