"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
4	0	0	0	0	0
11	0	0	0	0	0
15	0	0	0	0	0
23	0	0	0	0	0
55	0	1	0	0	1
64	0	1	0	0	1
73	0	1	0	0	1
82	0	1	0	0	1
99	0	1	0	0	1
103	0	1	0	0	1
109	0	1	0	0	1
115	0	1	0	0	1
119	0	1	0	0	1
124	0	1	0	0	1
128	0	1	0	0	1
133	0	1	1	1	3
137	0	1	1	1	3
142	0	1	1	1	3
146	0	1	1	1	3
150	0	1	1	1	3
156	0	1	1	1	3
161	0	1	1	1	3
165	0	1	1	1	3
170	0	1	1	1	3
177	0	1	1	1	3
182	0	1	1	1	3
186	0	1	1	1	3
190	0	1	1	1	3
194	0	1	1	1	3
199	0	1	1	1	3
209	0	1	1	1	3
217	0	1	1	1	3
223	0	1	1	1	3
227	0	1	1	1	3
231	0	1	1	1	3
240	0	1	1	1	3
244	0	1	1	1	3
249	0	1	1	1	3
253	0	1	1	1	3
261	0	1	1	1	3
274	0	1	1	1	3
282	0	1	1	1	3
286	0	1	1	1	3
290	0	1	1	1	3
299	0	1	1	1	3
304	0	1	1	1	3
314	0	1	1	1	3
323	0	1	1	0	2
329	0	1	1	0	2
336	0	1	1	0	2
342	0	1	0	0	1
349	0	1	0	0	1
353	0	1	1	1	3
358	0	1	1	1	3
369	0	1	1	1	3
374	0	1	1	1	3
378	0	1	1	1	3
382	0	1	1	1	3
387	0	1	1	1	3
392	0	1	1	1	3
397	0	1	1	1	3
402	0	1	1	1	3
408	0	1	1	1	3
418	0	1	1	1	3
424	0	1	1	1	3
432	0	1	1	1	3
438	0	1	1	1	3
442	0	1	1	1	3
449	0	1	1	1	3
457	0	1	1	1	3
463	0	1	1	1	3
469	0	1	1	1	3
474	0	1	1	1	3
478	0	1	1	1	3
485	0	1	1	1	3
490	0	1	1	1	3
496	0	1	1	1	3
504	0	1	1	1	3
511	0	1	1	1	3
518	0	1	1	1	3
524	0	1	1	1	3
528	0	1	1	1	3
537	0	1	1	1	3
543	0	1	1	1	3
549	0	1	1	1	3
553	0	1	1	1	3
560	0	1	1	1	3
566	0	1	1	1	3
574	0	1	1	1	3
579	0	1	1	1	3
584	0	1	1	1	3
589	0	1	1	1	3
593	0	1	1	1	3
599	0	1	1	1	3
628	0	1	1	1	3
629	0	1	1	1	3
635	0	1	1	1	3
636	0	1	1	1	3
639	0	1	1	1	3
649	0	1	1	1	3
653	0	1	1	1	3
657	0	1	1	1	3
664	0	1	1	1	3
669	0	1	1	1	3
671	0	1	1	1	3
674	0	1	1	1	3
681	0	1	1	1	3
682	0	1	1	1	3
689	0	1	1	1	3
690	0	1	1	1	3
694	0	1	1	1	3
699	0	1	1	1	3
703	0	1	1	1	3
705	0	1	1	1	3
710	0	1	1	1	3
717	0	1	1	1	3
720	0	1	1	1	3
725	0	1	1	1	3
730	0	1	1	1	3
731	0	1	1	1	3
736	0	1	1	1	3
738	0	1	1	1	3
742	0	1	1	1	3
748	0	1	1	1	3
752	0	1	1	1	3
756	0	1	1	1	3
761	0	1	1	1	3
766	0	1	1	1	3
767	0	1	1	1	3
770	0	1	1	1	3
773	0	1	1	1	3
774	0	1	1	1	3
778	0	1	1	1	3
779	0	1	1	1	3
783	0	1	1	1	3
786	0	1	1	1	3
791	0	1	1	1	3
798	0	1	1	1	3
799	0	1	1	1	3
804	0	1	1	1	3
807	0	1	1	1	3
810	0	1	1	1	3
811	0	1	1	1	3
816	0	1	1	1	3
819	0	1	1	1	3
820	0	1	1	1	3
823	0	1	1	1	3
824	0	1	1	1	3
828	0	1	1	1	3
834	0	1	1	1	3
838	0	1	1	1	3
843	0	1	1	1	3
848	0	1	1	1	3
853	0	1	1	0	2
859	0	1	1	0	2
864	0	1	1	0	2
869	0	1	1	0	2
874	0	1	1	0	2
879	0	1	1	0	2
884	0	1	0	0	1
890	0	1	0	0	1
894	0	1	0	0	1
900	0	1	0	0	1
904	0	1	0	0	1
910	0	1	0	0	1
914	0	1	0	0	1
918	0	1	0	0	1
924	0	1	0	0	1
928	0	1	0	0	1
933	0	1	0	0	1
937	0	1	0	0	1
943	0	1	0	0	1
948	0	1	0	0	1
954	0	0	0	0	0
960	0	0	0	0	0
970	0	0	0	0	0
974	0	0	0	0	0
984	0	0	0	0	0
992	0	0	0	0	0
998	0	0	0	0	0
1002	0	0	0	0	0
1006	0	0	0	0	0
1013	0	0	0	0	0
1017	0	0	0	0	0
1022	0	0	0	0	0
1026	0	0	0	0	0
1031	0	0	0	0	0
1035	0	0	0	0	0
1044	0	0	0	0	0
1049	0	0	0	0	0
1054	0	0	0	0	0
1059	0	0	0	0	0
1064	0	1	0	0	1
1069	0	1	0	0	1
1074	0	1	0	0	1
1079	0	1	0	0	1
1083	0	1	0	0	1
1088	0	1	0	0	1
1093	0	1	0	0	1
1098	0	1	0	0	1
1103	0	1	0	0	1
1109	0	1	0	0	1
1118	0	1	0	0	1
1123	0	1	0	0	1
1129	0	1	0	0	1
1134	0	1	1	1	3
1143	0	1	1	1	3
1148	0	1	1	1	3
1153	0	1	1	1	3
1159	0	1	1	1	3
1163	0	1	1	1	3
1168	0	1	1	1	3
1172	0	1	1	1	3
1177	0	1	1	1	3
1185	0	1	1	1	3
