depth	min95%	max95%	best	acc.rate
0	-145	211	14	7.16
10	-37	242	86	7.16
20	46	287	157	7.16
30	93	334	228	7
40	130	377	297	6.52
50	168	425	358	5.72
55	189	450	386	5.21
60	215	480	411	4.72
65	251	517	434	4.85
70	289	555	460	5.7
75	335	598	492	7.28
80	393	650	532	9.59
85	467	715	586	12.62
90	549	793	656	16.37
95	656	889	747	20.85
100	782	1005	861	25.94
105	931	1145	1001	31.02
110	1103	1300	1166	35.97
115	1292	1483	1356	40.8
120	1504	1686	1569	45.5
125	1733	1921	1806	50.08
130	1988	2172	2065	54.54
135	2263	2462	2347	58.86
140	2562	2778	2649	63.07
145	2878	3120	2973	67.15
150	3206	3489	3316	70.95
155	3553	3883	3678	74.38
160	3914	4297	4056	77.44
165	4280	4713	4449	80.12
170	4643	5139	4854	82.43
175	5012	5571	5271	84.36
180	5387	6010	5695	85.26
210	7553	8479	8034	65.7
215	7893	8861	8356	62.26
230	8829	10009	9234	55.16
235	9131	10370	9507	53.88
240	9437	10738	9775	53.13
245	9727	11087	10040	52.92
250	9966	11459	10304	NA
