depth	min95%	max95%	best	acc.rate
5	-136	56	-17	7.07
15	-44	124	55	7.38
25	44	214	132	8.26
35	137	311	221	9.71
45	244	429	327	11.73
55	371	560	455	14.32
65	527	709	612	17.48
75	717	883	804	21.56
85	964	1139	1047	28.29
95	1288	1472	1370	37.33
105	1702	1899	1783	45.96
115	2134	2405	2278	53.31
125	2554	2981	2831	57.04
135	2981	3603	3404	57.44
145	3411	4251	3979	57.44
155	3844	4909	4553	57.44
165	4271	5569	5127	57.44
175	4695	6229	5702	57.44
185	5123	6890	6276	57.44
195	5556	7550	6851	57.44
205	5985	8208	7425	57.44
215	6412	8869	7999	NA
