depth	min95%	max95%	best	acc.rate
12.5	-105	99	-1	42.53
37.5	969	1158	1063	42.53
62.5	2036	2223	2126	42.53
81.5	2837	3029	2934	42.53
93.75	3357	3557	3455	42.53
102.5	3727	3933	3827	42.53
118.75	4415	4630	4519	42.53
137.5	5206	5436	5316	42.53
162.5	6260	6514	6379	42.53
187.5	7310	7597	7443	42.53
206.25	8100	8408	8240	42.53
218.75	8625	8947	8772	42.53
231.25	9155	9487	9304	42.53
243.75	9679	10027	9835	42.53
256.25	10200	10568	10367	42.53
268.75	10726	11110	10899	42.53
281.25	11250	11648	11430	42.53
293.75	11775	12189	11962	42.53
306.25	12301	12729	12494	42.53
318.75	12828	13269	13026	42.53
331.25	13352	13811	13557	42.53
343.75	13875	14351	14089	42.53
356.25	14398	14891	14621	42.53
368.75	14922	15432	15152	42.53
381.25	15183	15687	15407	9.78
393.75	15316	15790	15529	9.78
406.25	15438	15899	15652	9.78
418.75	15571	16009	15774	9.78
431.25	15687	16127	15896	9.78
443.75	15808	16243	16018	9.78
456.25	15918	16370	16140	9.78
468.75	16032	16486	16263	9.78
481.25	16141	16614	16385	9.78
493.75	16247	16749	16507	9.78
506.25	16355	16880	16629	9.78
518.75	16459	17012	16751	9.78
531.25	16552	17142	16874	9.78
543.75	16655	17281	16996	9.78
556.25	16750	17423	17118	9.78
568.75	17135	17815	17507	80.94
581.25	18198	18796	18519	80.94
593.75	19238	19790	19531	80.94
606.25	20252	20799	20542	80.94
618.75	21234	21819	21554	80.94
631.25	22208	22848	22566	80.94
643.75	23163	23900	23578	80.94
656.25	24104	24963	24589	80.94
668.75	25036	26017	25601	80.94
681.25	25984	27085	26613	80.94
693.75	26915	28151	27625	80.94
706.25	27834	29227	28636	80.94
718.75	28769	30324	29648	80.94
731.25	29707	31400	30660	80.94
743.75	30631	32495	31672	80.94
756.25	31558	33574	32683	80.94
768.75	32490	34650	33695	80.94
781.25	33414	35734	34707	80.94
793.75	34340	36817	35719	80.94
806.25	35270	37904	36730	80.94
818.75	36200	38989	37742	80.94
831.25	37132	40075	38754	80.94
843.75	38063	41160	39766	80.94
856.25	38992	42246	40777	80.94
868.75	39922	43332	41789	80.94
881.25	40852	44417	42801	80.94
893.75	41782	45502	43813	80.94
912.5	43176	47130	45330	80.94
931.25	44569	48758	46848	80.94
943.75	45498	49843	47860	80.94
956.25	46420	50929	48871	80.94
968.75	47347	52014	49883	80.94
981.25	48275	53099	50895	80.94
993.75	49202	54184	51907	80.94
1006.25	50128	55270	52918	80.94
1018.75	51059	56355	53930	80.94
1031.25	51989	57440	54942	80.94
1043.75	52918	58525	55954	80.94
1062.5	54305	60153	57471	NA
