depth	min95%	max95%	best	acc.rate
12.5	-11	587	115	44.99
37.5	1086	1680	1239	44.91
62.5	2175	2793	2359	44.68
81.5	2989	3629	3206	44.39
93.75	3509	4173	3748	44.15
102.5	3877	4549	4134	43.96
118.75	4562	5249	4845	43.55
137.5	5342	6047	5656	42.99
162.5	6348	7112	6720	42.1
187.5	7302	8150	7761	41.05
206.25	8009	8930	8522	40.16
218.75	8470	9402	9020	39.52
231.25	8920	9877	9510	38.82
243.75	9351	10355	9991	38.11
256.25	9772	10823	10463	37.33
268.75	10170	11286	10925	36.54
281.25	10558	11732	11377	35.67
293.75	10932	12178	11817	34.8
306.25	11276	12623	12247	33.85
318.75	11623	13055	12664	32.9
331.25	11925	13508	13069	31.87
343.75	12240	13968	13462	30.84
356.25	12539	14424	13841	29.73
368.75	12817	14878	14206	28.62
381.25	13063	15325	14557	27.49
393.75	13272	15765	14895	26.59
406.25	13500	16208	15222	25.85
418.75	13698	16641	15542	25.35
431.25	13928	17073	15857	25.03
443.75	14167	17494	16169	24.93
456.25	14401	17913	16481	25.03
468.75	14649	18328	16795	25.32
481.25	14923	18742	17115	25.83
493.75	15246	19158	17442	26.52
506.25	15566	19572	17778	27.45
518.75	15921	19992	18128	28.54
531.25	16357	20404	18492	29.88
543.75	16848	20825	18875	31.37
556.25	17334	21250	19277	33.13
568.75	17940	21678	19702	34.99
581.25	18552	22104	20151	36.78
593.75	19009	22526	20620	38.26
606.25	19337	22943	21106	39.54
618.75	19654	23383	21606	40.52
631.25	19988	23819	22118	41.29
643.75	20301	24267	22637	41.78
656.25	20600	24717	23161	42.04
668.75	20924	25262	23687	42.07
681.25	21222	26105	24213	42.07
693.75	21512	27033	24739	42.07
706.25	21795	27950	25264	42.07
718.75	22090	28851	25790	42.07
731.25	22400	29819	26316	42.07
743.75	22742	30779	26842	42.07
756.25	23072	31717	27368	42.07
768.75	23362	32654	27894	42.07
781.25	23652	33591	28420	42.07
793.75	23942	34528	28946	42.07
806.25	24232	35465	29471	42.07
818.75	24522	36401	29997	42.07
831.25	24820	37338	30523	42.07
843.75	25123	38274	31049	42.07
856.25	25432	39211	31575	42.07
868.75	25761	40146	32101	42.07
881.25	26090	41077	32627	42.07
893.75	26405	42008	33153	42.07
912.5	26853	43404	33941	42.07
931.25	27282	44801	34730	42.07
943.75	27568	45732	35256	42.07
956.25	27854	46663	35782	42.07
968.75	28156	47594	36308	42.07
981.25	28458	48525	36834	42.07
993.75	28761	49455	37360	42.07
1006.25	29063	50386	37885	42.07
1018.75	29365	51317	38411	42.07
1031.25	29668	52250	38937	42.07
1043.75	29970	53188	39463	42.07
1062.5	30424	54594	40252	NA
