"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
12.5	0	1	1	1	3
25	0	1	1	1	3
37.5	0	1	1	1	3
50	0	1	1	1	3
62.5	0	1	1	1	3
75	0	1	1	1	3
87.5	0	1	1	1	3
100	0	1	1	1	3
112.5	0	1	1	1	3
125	0	1	1	1	3
137.5	0	1	1	1	3
150	0	1	1	1	3
162.5	0	1	1	1	3
175	0	1	1	1	3
187.5	0	1	1	1	3
200	0	1	1	1	3
212.5	0	1	1	1	3
225	0	1	1	1	3
237.5	0	1	1	1	3
250	0	1	1	1	3
262.5	0	1	1	1	3
275	0	1	1	1	3
287.5	0	1	1	1	3
300	0	1	1	1	3
312.5	0	1	1	1	3
325	0	1	1	1	3
337.5	0	1	1	1	3
350	0	1	1	1	3
362.5	0	1	1	1	3
375	0	1	1	1	3
387.5	0	1	1	1	3
400	0	1	1	1	3
412.5	0	1	1	1	3
425	0	1	1	1	3
437.5	0	1	1	1	3
450	0	1	1	1	3
462.5	0	1	1	1	3
475	0	1	1	1	3
487.5	0	1	1	1	3
500	0	1	1	1	3
512.5	0	1	1	1	3
525	0	1	1	1	3
