depth	min95%	max95%	best	acc.rate
0	11173	12261	11777	1.85
12.5	11234	12264	11800	1.85
25	11293	12266	11823	1.85
37.5	11348	12269	11846	1.85
50	11396	12273	11869	1.85
62.5	11440	12278	11892	1.85
75	11489	12289	11915	1.85
87.5	11531	12307	11938	1.85
100	11576	12322	11961	1.85
112.5	11630	12329	11984	1.85
125	11671	12334	12007	1.85
137.5	11717	12346	12030	1.85
150	11767	12354	12053	1.85
162.5	11819	12361	12076	1.85
175	11849	12369	12099	1.85
187.5	11879	12386	12122	1.85
200	11903	12397	12145	1.85
212.5	11926	12416	12168	1.85
225	11949	12434	12191	1.85
237.5	11968	12457	12214	1.85
250	11983	12486	12237	1.85
262.5	12000	12512	12260	1.85
275	12004	12548	12283	1.85
287.5	12013	12581	12306	1.85
300	12019	12628	12329	1.85
312.5	12032	12682	12352	1.85
325	12035	12737	12375	1.85
337.5	12042	12792	12398	1.85
350	12047	12844	12421	1.85
362.5	12052	12900	12444	1.85
375	12065	12963	12467	1.85
387.5	12074	13022	12490	1.85
400	12078	13080	12513	1.85
412.5	12084	13141	12536	1.85
425	12091	13198	12559	1.85
437.5	12094	13254	12583	1.85
450	12098	13310	12606	1.85
462.5	12099	13365	12629	1.85
475	12100	13420	12652	1.85
487.5	12105	13472	12675	1.85
500	12112	13524	12698	1.85
512.5	12115	13576	12721	1.85
525	12119	13628	12744	1.85
550	12123	13749	12790	1.85
562.5	12126	13812	12813	1.85
575	12130	13876	12836	NA
