depth	min95%	max95%	best	acc.rate
0	1539	2273	1884	202.54
2	2040	2581	2289	202.54
4	2492	2914	2694	202.25
6	2871	3264	3096	196.9
8	3219	3619	3485	184.34
10	3562	4009	3845	166.43
14	4216	4737	4472	146.39
18	4893	5402	5058	152.32
22	5624	6114	5708	183.76
26	6337	6887	6492	212.39
30	7126	7697	7360	220.17
34	7899	8477	8227	207.1
38	8609	9181	9011	173.18
42	9185	9753	9631	124.26
46	9613	10203	10062	81.95
50	9917	10514	10337	48.41
54	10140	10695	10490	23.62
58	10286	10785	10558	7.6
62	10364	10822	10575	0.34
66	10400	10863	10576	1.84
70	10438	10889	10596	11.99
74	10511	10949	10663	24.21
78	10617	11032	10775	34.29
82	10758	11170	10925	42.23
86	10912	11323	11103	48.04
90	11076	11515	11302	51.72
94	11241	11771	11511	53.26
95.5	11305	11865	11591	53.32
