depth	min95%	max95%	best	acc.rate
0	-110	241	115	15.65
5	-1	299	193	15.65
10	102	373	272	15.7
15	201	448	350	15.84
20	301	521	430	16.07
25	402	598	511	16.38
30	502	676	594	16.79
35	601	754	679	17.28
40	703	834	766	17.87
45	801	922	857	18.54
50	894	1016	951	19.16
55	989	1116	1048	19.65
60	1085	1215	1147	20.01
65	1177	1314	1247	20.23
70	1269	1412	1349	20.32
75	1363	1513	1450	20.27
80	1462	1610	1551	20.08
85	1557	1708	1651	19.76
90	1649	1805	1749	19.31
95	1744	1900	1844	18.72
100	1837	1991	1937	18.12
105	1929	2080	2026	17.6
110	2021	2168	2113	17.16
115	2114	2252	2198	16.79
120	2206	2335	2282	16.5
125	2296	2422	2364	16.29
130	2388	2502	2445	16.15
135	2480	2586	2526	16.09
140	2570	2668	2606	16.11
145	2663	2753	2687	16.2
150	2746	2838	2768	16.37
155	2813	2924	2850	16.45
160	2875	3009	2932	16.34
165	2940	3091	3013	16.02
170	3008	3174	3093	15.52
175	3073	3248	3169	14.81
180	3145	3322	3241	13.91
185	3204	3388	3309	12.81
190	3245	3447	3370	11.52
195	3285	3536	3425	10.04
200	3302	3655	3473	9.17
205	3314	3795	3519	9.45
210	3326	3953	3568	10.9
215	3351	4125	3628	13.5
220	3389	4318	3702	17.27
225	3451	4517	3798	22.19
230	3548	4725	3921	28.27
235	3688	4956	4076	35.52
240	3886	5201	4270	43.92
245	4130	5461	4508	53.48
250	4436	5738	4797	64.2
255	4761	6034	5141	76.08
260	5039	6350	5547	89.07
265	5256	6671	6014	98.51
270	5481	7014	6514	101.24
275	5707	7435	7021	101.24
295	6544	9927	9046	NA
