DEPTH (CM);SAMPLE AGE
0;134
5;222
10;310
15;399
20;487
25;575
30;663
35;752
40;840
45;928
50;1026
55;1124
60;1222
65;1320
70;1419
75;1517
80;1615
85;1713
90;1811
95;1909
100;1976
105;2043
110;2110
115;2177
120;2244
125;2311
130;2378
135;2445
140;2512
145;2579
150;2646
155;2714
160;2781
165;2849
170;2916
175;2984
180;3051
185;3119
190;3186
195;3254
200;3338
205;3421
210;3505
215;3588
220;3672
225;3755
230;3839
235;3922
240;4006
245;4089
250;4173
255;4256
260;4340
265;4424
270;4507
275;4591
295;4925
