depth	min95%	max95%	best	acc.rate
167.5	3012	3851	3435	7.17
168.5	3021	3856	3442	7.17
169.5	3031	3860	3450	7.17
170.5	3042	3864	3457	7.17
171.5	3053	3869	3464	7.17
172.5	3063	3874	3471	7.17
173.5	3074	3878	3478	7.17
174.5	3085	3883	3485	7.17
175.5	3095	3888	3493	7.17
176.5	3105	3893	3500	7.17
177.5	3115	3898	3507	7.17
178.5	3126	3903	3514	7.17
179.5	3135	3908	3521	7.17
180.5	3143	3913	3528	7.17
181.5	3153	3918	3536	7.17
182.5	3162	3923	3543	7.17
183.5	3172	3927	3550	7.17
184.5	3181	3932	3557	7.17
185.5	3191	3937	3564	7.17
186.5	3201	3944	3571	7.17
187.5	3210	3949	3579	7.17
188.5	3219	3952	3586	7.17
189.5	3229	3958	3593	7.17
190.5	3238	3963	3600	7.17
191.5	3247	3969	3607	7.17
192.5	3257	3974	3614	7.17
193.5	3266	3980	3622	7.17
194.5	3276	3985	3629	7.17
195.5	3285	3991	3636	7.17
196.5	3294	3998	3643	7.17
197.5	3304	4004	3650	7.17
198.5	3314	4009	3657	7.17
199.5	3325	4013	3665	7.17
200.5	3333	4017	3672	7.17
201.5	3341	4021	3679	7.17
202.5	3351	4028	3686	7.17
203.5	3362	4034	3693	7.17
204.5	3370	4040	3700	7.17
205.5	3377	4045	3708	7.17
206.5	3386	4051	3715	7.17
207.5	3396	4056	3722	7.17
208.5	3406	4062	3729	7.17
209.5	3417	4067	3736	7.17
210.5	3426	4073	3743	7.17
211.5	3434	4078	3751	7.17
212.5	3442	4084	3758	7.17
213.5	3453	4089	3765	7.17
214.5	3464	4095	3772	7.17
215.5	3474	4100	3779	7.17
216.5	3483	4105	3786	7.17
217.5	3492	4111	3794	7.17
218.5	3501	4114	3801	7.17
219.5	3509	4116	3808	7.17
220.5	3519	4121	3815	7.17
221.5	3528	4126	3822	7.17
222.5	3537	4131	3829	7.17
223.5	3547	4137	3837	7.17
224.5	3556	4142	3844	7.17
225.5	3565	4148	3851	7.17
226.5	3574	4154	3858	7.17
227.5	3583	4159	3865	7.17
228.5	3590	4163	3872	7.17
229.5	3599	4168	3880	7.17
230.5	3608	4173	3887	7.17
231.5	3616	4178	3894	7.17
232.5	3625	4183	3901	7.17
233.5	3634	4189	3908	7.17
234.5	3643	4197	3915	7.17
235.5	3651	4204	3923	7.17
236.5	3661	4212	3930	7.17
237.5	3670	4219	3937	7.17
238.5	3680	4225	3944	7.17
239.5	3689	4230	3951	7.17
240.5	3698	4236	3958	7.17
241.5	3707	4242	3966	7.17
242.5	3716	4248	3973	7.17
243.5	3725	4253	3980	7.17
244.5	3735	4259	3987	7.17
245.5	3742	4265	3994	7.17
246.5	3751	4272	4001	7.17
247.5	3760	4280	4009	7.17
248.5	3768	4288	4016	7.17
249.5	3777	4294	4023	7.17
250.5	3785	4301	4030	7.17
251.5	3790	4305	4037	7.17
252.5	3797	4311	4044	7.17
253.5	3806	4318	4052	7.17
254.5	3813	4324	4059	7.17
255.5	3817	4331	4066	7.17
256.5	3824	4338	4073	7.17
257.5	3832	4344	4080	7.17
258.5	3840	4352	4087	7.17
259.5	3848	4360	4095	7.17
260.5	3856	4367	4102	7.17
261.5	3864	4376	4109	7.17
262.5	3872	4381	4116	7.17
263.5	3880	4388	4123	7.17
264.5	3888	4394	4130	7.17
265.5	3897	4402	4138	7.17
266.5	3905	4409	4145	7.17
267.5	3913	4414	4152	7.17
268.5	3921	4420	4159	7.17
269.5	3928	4432	4166	7.17
270.5	3935	4438	4173	7.17
271.5	3942	4447	4181	7.17
272.5	3949	4453	4188	7.17
273.5	3957	4460	4195	7.17
274.5	3966	4467	4202	7.17
275.5	3974	4476	4209	7.17
276.5	3981	4484	4216	7.17
277.5	3989	4493	4224	7.17
278.5	3997	4501	4231	7.17
279.5	4005	4510	4238	7.17
280.5	4013	4519	4245	7.17
281.5	4020	4526	4252	7.17
282.5	4027	4531	4259	7.17
283.5	4033	4536	4267	7.17
284.5	4038	4541	4274	7.17
285.5	4043	4545	4281	7.17
286.5	4048	4551	4288	7.17
287.5	4054	4556	4295	7.17
288.5	4061	4565	4302	7.17
289.5	4067	4573	4310	7.17
290.5	4072	4581	4317	7.17
291.5	4077	4589	4324	7.17
292.5	4085	4597	4331	7.17
293.5	4094	4606	4338	7.17
294.5	4102	4614	4345	7.17
295.5	4110	4622	4353	7.17
296.5	4117	4630	4360	7.17
297.5	4124	4641	4367	7.17
298.5	4127	4651	4374	7.17
299.5	4136	4658	4381	7.17
300.5	4143	4665	4388	7.17
301.5	4150	4672	4396	7.17
302.5	4156	4679	4403	7.17
303.5	4163	4688	4410	7.17
304.5	4170	4697	4417	7.17
305.5	4176	4706	4424	7.17
306.5	4180	4714	4431	7.17
307.5	4187	4721	4439	7.17
308.5	4193	4727	4446	7.17
309.5	4198	4736	4453	7.17
310.5	4205	4744	4460	7.17
311.5	4213	4750	4467	7.17
312.5	4221	4757	4474	7.17
313.5	4228	4764	4482	7.17
314.5	4236	4770	4489	7.17
315.5	4244	4780	4496	7.17
316.5	4249	4791	4503	7.17
317.5	4255	4801	4510	7.17
318.5	4259	4810	4517	7.17
319.5	4264	4820	4525	7.17
320.5	4268	4830	4532	7.17
321.5	4273	4839	4539	7.17
322.5	4280	4847	4546	7.17
323.5	4283	4856	4553	7.17
324.5	4287	4865	4560	7.17
325.5	4290	4873	4568	7.17
326.5	4295	4880	4575	7.17
327.5	4299	4889	4582	7.17
328.5	4303	4897	4589	7.17
329.5	4308	4905	4596	7.17
330.5	4312	4913	4603	7.17
331.5	4316	4921	4611	7.17
332.5	4321	4929	4618	7.17
333.5	4325	4937	4625	7.17
334.5	4331	4945	4632	7.17
335.5	4336	4952	4639	7.17
336.5	4341	4960	4646	7.17
337.5	4347	4968	4654	7.17
338.5	4352	4976	4661	7.17
339.5	4357	4984	4668	7.17
340.5	4363	4992	4675	7.17
341.5	4368	5000	4682	7.17
