depth	min95%	max95%	best	acc.rate
0	128	484	249	33.65
5	316	621	418	33.65
6	353	649	451	33.65
8	428	704	518	33.65
10	502	757	586	33.65
13	613	842	687	33.65
15	687	900	754	33.65
18	791	985	855	33.56
20	856	1044	922	33.34
23	943	1135	1022	32.77
25	997	1195	1087	32.24
28	1073	1284	1183	31.2
30	1122	1340	1245	30.34
33	1195	1423	1334	28.82
35	1239	1477	1391	27.65
38	1303	1551	1472	25.65
40	1343	1597	1523	24.16
43	1390	1661	1593	21.69
44	1407	1680	1615	20.8
47	1462	1734	1674	17.94
48.5	1488	1760	1701	16.67
50	1513	1782	1725	14.8
53	1559	1824	1766	11.62
55	1589	1848	1788	9.72
58	1630	1879	1815	7.21
60	1655	1897	1829	5.77
63	1692	1924	1844	3.95
65	1721	1939	1851	2.97
68	1745	1959	1859	1.84
70	1762	1971	1862	1.32
73	1779	1987	1866	0.88
77	1793	2010	1869	0.93
78	1795	2016	1870	1.06
80	1795	2028	1872	1.45
83	1795	2046	1878	2.23
87	1798	2071	1888	3.25
88	1799	2078	1891	3.5
90	1803	2091	1899	3.98
93	1809	2111	1911	4.69
95	1816	2125	1921	5.15
97	1823	2139	1931	5.6
100	1837	2161	1949	6.25
105	1865	2202	1982	7.29
106	1871	2213	1989	7.49
108	1886	2235	2005	7.88
110	1901	2256	2021	8.26
113	1924	2281	2046	8.81
115	1939	2299	2064	9.17
118	1966	2325	2092	9.68
120	1985	2343	2111	10
123	2016	2371	2142	10.48
125	2038	2394	2163	10.78
128	2071	2426	2196	11.21
130	2092	2446	2218	11.48
133	2128	2477	2253	11.87
135	2153	2498	2277	12.12
138	2189	2530	2314	12.47
140	2215	2551	2339	12.69
143	2256	2580	2377	13
145	2284	2601	2403	13.2
148	2324	2637	2443	13.47
150	2351	2660	2470	13.64
153	2391	2691	2511	13.87
155	2420	2714	2539	14.01
158	2460	2745	2581	14.2
160	2488	2769	2610	14.32
163	2532	2802	2653	14.47
165	2563	2825	2682	14.56
168	2606	2859	2726	14.67
170	2636	2883	2755	14.73
173	2681	2921	2799	14.8
175	2710	2947	2829	14.84
178	2753	2985	2873	14.87
180	2783	3009	2903	14.88
183	2831	3051	2948	14.87
188	2906	3120	3022	14.81
190	2934	3146	3052	14.76
193	2976	3187	3096	14.68
195	3007	3216	3125	14.61
197.5	3046	3252	3162	14.51
200	3082	3288	3198	14.38
203	3127	3330	3241	14.21
205	3156	3360	3269	14.09
208	3199	3401	3311	13.9
210	3228	3429	3339	13.76
213	3270	3470	3380	13.55
215	3298	3497	3407	13.41
218	3335	3538	3447	13.18
220	3361	3564	3473	13.02
223	3399	3605	3512	12.77
225	3425	3632	3538	12.6
228	3464	3672	3575	12.33
230	3489	3697	3600	12.15
233	3526	3734	3636	11.86
235	3547	3759	3659	11.67
238	3584	3797	3694	11.36
240	3603	3821	3717	11.16
243	3633	3856	3750	10.84
245	3654	3878	3772	10.62
248	3679	3910	3803	10.28
250	3697	3931	3823	10.05
253	3723	3960	3853	9.69
255	3738	3980	3872	9.44
258	3759	4008	3900	9.07
260	3777	4026	3918	8.81
263	3798	4053	3945	8.42
265	3811	4068	3961	8.15
268	3829	4091	3985	7.74
270	3842	4106	4001	7.46
273	3860	4126	4023	7.03
275	3873	4138	4036	6.73
278	3891	4157	4056	6.29
280	3903	4169	4069	5.98
283	3919	4184	4086	5.51
285	3930	4194	4097	5.2
288	3945	4207	4112	4.71
290	3955	4216	4121	4.38
293	3969	4230	4134	3.88
