depth	min95%	max95%	best	acc.rate
0	194	503	312	28.73
5	353	624	455	28.73
6	384	649	484	28.73
8	445	698	542	28.73
10	509	748	599	28.73
13	602	820	685	28.73
15	664	869	743	28.73
18	755	943	829	28.73
20	818	995	886	28.73
23	907	1073	973	28.73
25	968	1126	1030	28.73
28	1057	1206	1116	28.73
30	1115	1259	1174	28.73
33	1201	1338	1260	28.73
35	1258	1393	1317	28.73
38	1343	1473	1404	28.73
40	1398	1531	1461	28.73
43	1481	1621	1547	28.73
44	1510	1650	1576	28.73
47	1595	1739	1662	28.73
48.5	1637	1784	1705	28.73
50	1678	1830	1748	28.73
53	1711	1859	1781	2.13
55	1715	1859	1786	2.13
58	1725	1862	1792	2.13
60	1728	1864	1796	2.13
63	1734	1868	1803	2.13
65	1739	1871	1807	2.13
68	1742	1878	1813	2.13
70	1742	1885	1817	2.13
73	1741	1901	1824	2.13
77	1740	1918	1832	2.13
78	1738	1922	1835	2.13
80	1734	1933	1839	2.13
83	1758	1962	1864	11.49
87	1807	2004	1910	11.49
88	1819	2015	1921	11.49
90	1843	2037	1944	11.49
93	1881	2070	1979	11.49
95	1906	2093	2002	11.49
97	1930	2116	2025	11.49
100	1967	2149	2059	11.49
105	2029	2203	2117	11.49
106	2041	2214	2128	11.49
108	2065	2235	2151	11.49
110	2089	2257	2174	11.49
113	2125	2289	2209	11.49
115	2148	2312	2232	11.49
118	2184	2345	2266	11.49
120	2208	2367	2289	11.49
123	2244	2401	2324	11.49
125	2268	2424	2347	11.49
128	2303	2457	2381	11.49
130	2327	2479	2404	11.49
133	2362	2513	2439	11.49
135	2385	2535	2462	11.49
138	2421	2569	2496	11.49
140	2443	2591	2519	11.49
143	2478	2625	2553	11.49
145	2500	2648	2576	11.49
148	2533	2684	2611	11.49
150	2555	2707	2634	11.49
153	2589	2743	2668	11.49
155	2613	2765	2691	11.49
158	2646	2801	2726	11.49
160	2668	2824	2749	11.49
163	2702	2860	2783	11.49
165	2724	2884	2806	11.49
168	2758	2918	2841	11.49
170	2780	2941	2864	11.49
173	2813	2976	2898	11.49
175	2837	2999	2921	11.49
178	2867	3035	2956	11.49
180	2889	3059	2979	11.49
183	2922	3094	3013	11.49
188	2975	3152	3071	11.49
190	2996	3175	3094	11.49
193	3028	3210	3128	11.49
195	3049	3234	3151	11.49
197.5	3075	3265	3180	11.49
200	3101	3295	3209	11.49
203	3134	3332	3243	11.49
205	3156	3354	3264	9.55
208	3187	3382	3293	9.55
210	3209	3399	3312	9.55
213	3241	3425	3340	9.55
215	3263	3443	3360	9.55
218	3294	3470	3388	9.55
220	3316	3489	3407	9.55
223	3347	3516	3436	9.55
225	3368	3534	3455	9.55
228	3396	3563	3484	9.55
230	3415	3582	3503	9.55
233	3441	3611	3532	9.55
235	3461	3630	3551	9.55
238	3491	3658	3579	9.55
240	3508	3677	3598	9.55
243	3538	3706	3627	9.55
245	3557	3727	3646	9.55
248	3587	3756	3675	9.55
250	3604	3777	3694	9.55
253	3632	3808	3723	9.55
255	3651	3831	3742	9.55
258	3677	3863	3770	9.55
260	3695	3885	3789	9.55
263	3721	3915	3818	9.55
265	3737	3938	3837	9.55
268	3764	3972	3866	9.55
270	3782	3992	3885	9.55
273	3807	4022	3914	9.55
275	3824	4043	3933	9.55
278	3846	4072	3961	9.55
280	3861	4095	3980	9.55
283	3886	4129	4009	9.55
285	3902	4151	4028	9.55
288	3928	4188	4057	9.55
290	3944	4210	4076	9.55
293	3969	4242	4105	9.55
295	3985	4264	4124	9.55
298	4008	4297	4152	9.55
300	4024	4318	4171	4.77
303	4045	4323	4186	4.77
305	4059	4326	4195	4.77
308	4080	4332	4210	4.77
310	4095	4335	4219	4.77
315	4131	4347	4243	4.77
318	4153	4356	4257	4.77
320	4165	4365	4267	4.77
323	4184	4374	4281	4.77
325	4195	4382	4291	4.77
328	4212	4387	4305	4.77
330	4221	4394	4314	4.77
333	4237	4406	4329	4.77
335	4248	4414	4338	4.77
338	4260	4424	4353	4.77
340	4265	4433	4362	4.77
343	4271	4446	4376	4.77
345	4275	4454	4386	4.77
348	4283	4467	4400	4.77
350	4290	4477	4410	4.77
353	4295	4496	4424	4.77
355	4298	4509	4434	4.77
358	4306	4528	4448	4.77
360	4311	4542	4457	4.77
363	4377	4597	4492	24.51
365	4301	4800	4541	-188.59
368	4226	4774	4507	77.46
370	4206	4960	4602	17.91
373	4299	4993	4656	17.91
375	4357	5009	4692	17.91
378	4447	5029	4746	17.91
380	4500	5044	4781	17.91
383	4586	5071	4835	17.91
385	4640	5100	4871	17.91
388	4727	5138	4925	17.91
390	4769	5177	4961	17.91
393	4825	5224	5014	17.91
395	4854	5264	5050	17.91
397	4882	5311	5086	17.91
400	4926	5384	5140	17.91
405	5088	5462	5341	-52.93
408	5061	5303	5191	-44.14
410	4886	5289	5102	58.95
418	5201	5432	5321	-62.65
420	4984	5437	5196	-0.25
425	5031	5321	5177	-9.23
428	4935	5359	5156	-1.82
430	4692	5575	5153	-1.82
435	4633	5449	5055	-24.02
436	4644	5412	5031	-24.02
438	4606	5335	4983	-24.02
440	4502	5331	4935	-24.02
445	5082	5730	5439	27.54
448	5246	5741	5521	27.54
450	5351	5758	5576	27.54
455	5577	5836	5714	27.54
458	5598	5847	5727	-42.15
460	5366	5869	5643	33.49
465	5672	5947	5810	33.49
468	5748	6096	5911	33.49
470	5755	5989	5871	-28.23
475	5697	5894	5802	7.77
478	5759	5959	5865	27.56
480	5836	6043	5920	27.56
485	5749	5925	5835	23.57
488	5825	5988	5906	23.57
490	5865	6032	5953	23.57
495	5950	6153	6071	23.57
498	5992	6229	6142	23.57
500	6014	6285	6189	7.04
510	6105	6345	6259	7.04
515	6147	6379	6294	7.04
520	6193	6412	6330	7.04
528	6264	6466	6386	7.04
530	6280	6480	6400	7.04
535	6321	6515	6435	7.04
540	6361	6550	6470	7.04
545	6403	6585	6506	7.04
550	6442	6621	6541	7.04
555	6480	6655	6576	7.04
560	6519	6692	6611	7.04
565	6559	6727	6646	7.04
570	6595	6764	6682	7.04
575	6630	6805	6717	7.04
580	6664	6847	6752	7.04
585	6693	6888	6787	7.04
590	6726	6928	6822	7.04
595	6783	6986	6879	14.17
600	6854	7053	6950	14.17
605	6927	7118	7021	14.17
610	6999	7190	7092	14.17
615	7069	7259	7162	14.17
620	7138	7329	7233	14.17
625	7210	7402	7304	14.17
630	7282	7476	7375	14.17
635	7351	7548	7446	14.17
640	7421	7621	7517	14.17
645	7489	7694	7587	14.17
650	7558	7769	7658	14.17
655	7628	7845	7729	14.17
660	7698	7921	7800	14.17
665	7767	7994	7871	14.17
670	7834	8071	7942	14.17
675	7903	8146	8012	14.17
680	7971	8224	8083	14.17
685	8038	8302	8154	14.17
690	8106	8379	8225	14.17
695	8174	8457	8296	14.17
700	8240	8536	8367	14.17
703	8280	8583	8409	14.17
705	8307	8615	8437	14.17
710	8374	8695	8508	14.17
715	8443	8773	8579	14.17
