depth	min95%	max95%	best	acc.rate
1	-409	18	-197	17.84
2	-386	31	-179	17.84
3	-364	44	-161	17.84
4	-342	58	-143	17.84
5	-320	72	-125	17.84
6	-297	85	-107	17.84
7	-275	98	-89	17.84
8	-252	111	-72	17.84
9	-230	125	-54	17.84
10	-208	138	-36	17.84
11	-186	151	-18	17.84
12	-163	165	0	17.84
13	-141	178	18	17.84
14	-118	192	35	17.84
15	-97	205	53	17.84
16	-74	219	71	17.84
17	-52	232	89	17.84
18	-30	245	107	17.84
19	-9	259	125	17.84
20	13	272	143	17.84
21	34	286	160	17.84
22	56	300	178	17.84
23	79	314	196	17.84
24	100	328	214	17.84
25	122	343	232	17.84
26	144	356	250	17.84
27	166	370	267	17.84
28	187	384	285	17.84
29	209	398	303	17.84
30	230	412	321	17.84
31	251	427	339	17.84
32	273	441	357	17.84
33	293	455	374	17.84
34	315	469	392	17.84
35	336	484	410	17.84
36	358	499	428	17.84
37	378	514	446	17.84
38	399	529	464	17.84
39	421	546	482	17.84
40	442	561	499	17.84
41	462	577	517	17.84
42	481	594	535	17.84
43	502	611	553	17.84
44	523	626	571	17.84
45	544	644	589	17.84
46	564	664	606	17.84
47	584	682	624	17.84
48	603	700	642	17.84
49	622	719	660	17.84
50	640	740	678	17.84
51	659	759	696	41.51
52	702	797	737	65.18
53	768	857	802	65.18
54	831	915	868	65.18
55	893	978	933	65.18
56	951	1041	998	65.18
57	1003	1106	1063	65.18
58	1060	1175	1128	65.18
59	1116	1245	1193	39.41
60	1152	1285	1233	13.64
61	1171	1298	1246	13.64
62	1185	1310	1260	13.64
63	1200	1322	1274	13.64
64	1219	1335	1287	13.64
65	1240	1350	1301	13.64
66	1261	1364	1315	13.64
67	1276	1378	1328	13.64
68	1290	1393	1342	13.64
69	1304	1408	1356	13.64
70	1317	1422	1369	13.64
71	1329	1437	1383	13.64
72	1343	1452	1397	13.64
73	1355	1467	1410	13.64
74	1368	1483	1424	13.64
75	1379	1500	1437	13.64
76	1392	1516	1451	13.64
77	1403	1533	1465	13.64
78	1412	1552	1478	52.23
79	1468	1601	1531	52.23
80	1521	1655	1583	52.23
81	1573	1712	1635	52.23
82	1626	1767	1687	52.23
83	1678	1826	1740	52.23
84	1731	1891	1792	52.23
85	1783	1955	1844	52.23
86	1834	2019	1896	52.23
87	1886	2086	1948	52.23
88	1938	2150	2001	52.23
89	1990	2212	2053	52.23
90	2042	2274	2105	52.23
91	2093	2338	2157	52.23
92	2144	2405	2210	52.23
93	2194	2471	2262	52.23
94	2244	2539	2314	52.23
95	2293	2604	2366	52.23
96	2340	2670	2418	25.32
97	2367	2689	2444	25.32
98	2394	2710	2469	25.32
99	2421	2728	2494	25.32
100	2448	2748	2520	25.32
101	2474	2767	2545	25.32
102	2499	2787	2570	25.32
103	2525	2806	2596	25.32
104	2551	2826	2621	25.32
105	2577	2845	2646	25.32
106	2603	2865	2672	25.32
107	2629	2886	2697	25.32
108	2655	2906	2722	25.32
109	2679	2926	2748	25.32
110	2705	2947	2773	25.32
111	2731	2967	2798	25.32
112	2756	2987	2824	25.32
113	2781	3007	2849	25.32
114	2806	3028	2874	25.32
115	2831	3048	2899	25.32
116	2856	3068	2925	25.32
117	2881	3088	2950	25.32
118	2906	3109	2975	25.32
119	2931	3128	3001	25.32
120	2956	3148	3026	25.32
121	2981	3169	3051	25.32
122	3006	3191	3077	25.32
123	3031	3211	3102	25.32
124	3057	3231	3127	25.32
125	3081	3253	3153	25.32
126	3106	3275	3178	25.32
127	3131	3299	3203	25.32
128	3156	3322	3229	25.32
129	3180	3346	3254	25.32
130	3205	3372	3279	25.32
131	3230	3398	3305	25.32
132	3255	3421	3330	25.32
133	3280	3449	3355	25.32
134	3304	3476	3380	25.32
135	3327	3501	3406	25.32
136	3351	3528	3431	25.32
137	3374	3557	3456	25.32
138	3399	3586	3482	25.32
139	3420	3615	3507	25.32
140	3443	3644	3532	25.32
141	3467	3673	3558	5.95
142	3492	3638	3564	5.95
143	3491	3656	3570	8.63
144	3486	3684	3578	11.32
145	3501	3691	3590	11.32
146	3515	3703	3601	11.32
147	3528	3711	3612	11.32
148	3542	3719	3624	11.32
149	3555	3728	3635	11.32
150	3568	3735	3646	11.32
151	3581	3742	3657	11.32
152	3594	3750	3669	11.32
153	3608	3760	3680	11.32
154	3621	3769	3691	11.32
155	3632	3780	3703	11.32
156	3644	3791	3714	11.32
157	3657	3804	3725	11.32
158	3669	3814	3737	11.32
159	3680	3828	3748	11.32
160	3691	3841	3759	11.32
161	3703	3854	3771	11.32
162	3714	3868	3782	11.32
163	3726	3881	3793	11.32
164	3736	3895	3805	11.32
165	3747	3908	3816	11.32
166	3758	3922	3827	11.32
