depth	min95%	max95%	best	acc.rate
0	-488	155	-157	10
10	-352	235	-57	10
20	-222	312	43	10
30	-85	389	143	10
40	49	470	243	10
50	169	549	343	10
60	291	629	443	10
70	399	713	543	10
80	506	797	643	10
90	611	884	743	10
100	712	982	843	10
110	815	1085	943	10
120	914	1198	1043	10
130	1008	1307	1143	10
140	1104	1424	1243	10
150	1192	1535	1343	10
160	1283	1648	1443	10
170	1387	1768	1554	12.12
180	1512	1883	1675	12.12
190	1637	1996	1796	12.12
200	1760	2114	1917	12.12
210	1885	2234	2038	12.12
220	2007	2351	2160	12.12
230	2129	2471	2281	12.12
240	2253	2590	2402	12.12
250	2374	2703	2523	12.12
260	2496	2822	2644	12.12
270	2616	2936	2765	12.12
280	2737	3057	2887	12.12
290	2860	3175	3008	12.12
300	2980	3295	3129	12.12
310	3100	3413	3250	12.12
320	3217	3533	3371	12.12
330	3335	3654	3493	12.12
340	3454	3776	3614	12.12
350	3571	3899	3735	12.12
360	3685	4025	3856	12.12
370	3798	4146	3977	12.12
380	3914	4272	4098	12.12
390	4031	4396	4220	12.12
400	4146	4518	4341	12.12
410	4261	4644	4462	12.12
420	4377	4771	4583	12.12
430	4494	4893	4704	12.12
440	4608	5020	4825	12.12
450	4722	5148	4947	12.12
460	4836	5276	5068	12.12
470	4951	5405	5189	12.12
480	5065	5535	5310	12.12
490	5177	5663	5431	12.12
500	5291	5792	5553	12.12
510	5405	5920	5674	12.12
520	5518	6047	5795	12.12
530	5631	6177	5916	12.12
540	5744	6307	6037	12.12
550	5860	6435	6158	12.12
560	5974	6565	6280	12.12
570	6087	6692	6401	NA
