depth	min95%	max95%	best	acc.rate
60	4666	10129	6962	33.81
90	5998	10690	7976	33.81
230	12239	13328	12709	33.81
240	12683	13526	13047	33.81
250	13125	13741	13385	33.81
260	13536	13980	13723	33.81
270	13886	14266	14062	33.81
280	14142	14591	14400	33.81
290	14362	15001	14738	5.25
300	14482	15012	14790	5.25
310	14588	15031	14843	5.25
320	14675	15062	14895	5.25
330	14724	15117	14948	5.25
340	14763	15220	15000	5.25
350	14775	15341	15052	5.25
360	14794	15498	15105	5.25
370	14802	15654	15157	5.25
380	14810	15800	15210	5.25
390	14818	15945	15262	5.25
445	14873	16710	15551	5.25
455	14880	16855	15603	5.25
525	14905	17883	15970	5.25
530	14907	17954	15997	NA
