depth	min95%	max95%	best	acc.rate
230	13026	14458	13790	-2.55
240	13265	14260	13771	-0.34
250	13485	14140	13792	5.96
260	13697	14186	13895	16.31
270	13832	14376	14102	24.64
280	13967	14647	14360	25.93
290	14136	14875	14599	20.2
300	14303	15030	14765	12.52
310	14472	15094	14863	7.07
320	14622	15152	14918	3.85
330	14741	15198	14950	2.86
340	14685	15302	14979	2.86
350	14617	15457	15007	2.86
360	14515	15631	15036	2.86
370	14428	15814	15064	2.86
380	14330	15989	15093	2.86
390	14235	16187	15122	2.86
445	13671	17278	15279	2.86
455	13571	17478	15308	2.86
525	12896	18877	15508	2.86
530	12848	18977	15523	NA
