depth	min95%	max95%	best	acc.rate
25	3095	3938	3534	34.01
37.5	3586	4298	3960	34.01
50	4088	4650	4385	34.01
62.5	4579	5012	4810	34.01
75	5068	5376	5235	34.01
87.5	5528	5773	5660	34.01
100	5949	6207	6085	34.01
112.5	6343	6669	6510	34.01
125	6706	7141	6935	34.01
137.5	7069	7620	7360	34.01
150	7415	8108	7786	34.01
162.5	7761	8603	8211	34.01
175	8111	9100	8636	34.01
187.5	8479	9588	9061	34.01
200	8833	10077	9486	34.01
212.5	9196	10571	9911	34.01
225	9545	11067	10336	34.01
237.5	9902	11564	10761	34.01
250	10250	12061	11186	NA
