"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
12.5	0	1	1	1	3
25	0	1	1	1	3
37.5	0	1	1	0	2
50	0	1	1	0	2
62.5	0	1	0	0	1
75	0	1	0	0	1
87.5	0	1	0	0	1
100	0	1	0	0	1
112.5	0	0	0	0	0
125	0	0	0	0	0
137.5	0	0	0	0	0
150	0	0	0	0	0
162.5	0	0	0	0	0
175	0	0	0	0	0
187.5	0	1	0	0	1
200	0	1	0	0	1
212.5	0	1	0	0	1
225	0	1	0	0	1
237.5	0	1	1	1	3
250	0	1	1	1	3
262.5	0	1	1	1	3
275	0	1	1	1	3
287.5	0	1	1	1	3
300	0	1	1	1	3
312.5	0	1	1	0	2
325	0	1	0	0	1
337.5	0	0	0	0	0
350	0	0	0	0	0
362.5	0	0	0	0	0
375	0	0	0	0	0
387.5	0	0	0	0	0
400	0	0	0	0	0
412.5	0	0	0	0	0
425	0	0	0	0	0
437.5	0	0	0	0	0
450	0	0	0	0	0
462.5	0	0	0	0	0
475	0	0	0	0	0
