depth	min95%	max95%	best	acc.rate
20	-37	142	54	2.67
25	-22	150	67	2.67
30	-5	162	81	2.67
35	9	172	94	2.67
45	39	195	121	2.67
50	55	206	134	2.67
55	72	218	147	2.67
60	86	231	161	2.67
65	99	242	174	2.67
70	114	256	187	2.67
75	128	270	201	2.67
80	140	284	214	2.67
85	154	299	227	2.67
90	169	313	241	2.67
95	183	328	254	2.67
100	196	342	267	2.67
105	209	356	281	2.67
110	220	371	294	2.67
115	233	385	307	2.67
120	245	400	321	2.67
125	256	415	334	2.67
130	268	430	347	2.67
135	280	446	361	2.67
140	290	462	374	2.67
145	302	478	387	2.67
150	312	495	401	3.8
155	339	505	420	3.8
160	364	518	439	3.8
165	391	531	458	3.8
170	413	544	477	3.8
175	435	560	496	3.8
180	455	576	515	3.8
185	478	592	534	3.8
190	499	610	553	3.8
195	517	629	572	3.8
200	533	649	591	3.8
205	629	747	689	43.61
210	846	963	907	43.61
215	1059	1183	1125	43.61
220	1265	1405	1343	43.61
225	1469	1630	1562	43.61
230	1670	1854	1780	43.61
235	1869	2082	1998	43.61
240	2070	2314	2216	46.87
245	2323	2535	2450	46.87
250	2582	2767	2685	46.87
255	2826	3003	2919	46.87
260	3063	3242	3153	46.87
265	3298	3483	3388	46.87
270	3520	3725	3622	46.87
275	3731	3979	3856	NA
