"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
20	1	1	1	1	4
25	1	1	1	1	4
30	1	1	1	1	4
35	1	1	1	1	4
45	1	1	1	1	4
50	1	1	1	1	4
55	1	1	1	1	4
60	1	1	1	1	4
65	1	1	1	1	4
70	1	1	1	1	4
75	1	1	1	1	4
80	1	1	1	1	4
85	1	1	1	1	4
90	1	1	1	1	4
95	1	1	1	1	4
100	1	1	1	1	4
105	1	1	1	1	4
110	1	1	1	1	4
115	1	1	1	1	4
120	1	1	1	1	4
125	1	1	1	1	4
130	1	1	1	1	4
135	1	1	1	1	4
140	1	1	1	1	4
145	1	1	1	1	4
150	1	1	1	1	4
155	1	1	1	1	4
160	1	1	1	1	4
165	1	1	1	1	4
170	1	1	1	1	4
175	1	1	1	1	4
180	1	1	1	1	4
185	1	1	1	1	4
190	1	1	1	1	4
195	1	1	1	1	4
200	1	1	1	1	4
205	0	1	1	1	3
210	0	1	1	1	3
215	0	1	1	0	2
220	0	1	1	1	3
225	0	1	1	1	3
230	0	1	1	1	3
235	0	1	1	1	3
240	0	1	1	1	3
245	0	1	1	1	3
250	0	1	1	1	3
255	0	1	1	1	3
260	0	1	1	1	3
265	0	1	1	1	3
270	0	1	1	1	3
275	0	1	1	1	3
