depth	min95%	max95%	best	acc.rate
20	-174	29	-45	-0.95
25	-182	28	-50	-0.88
30	-196	25	-54	-0.78
35	-201	25	-58	-0.67
45	-216	25	-63	-0.4
50	-214	25	-65	-0.24
55	-227	28	-66	-0.07
60	-228	30	-66	0.13
65	-227	34	-65	0.34
70	-229	38	-63	0.56
75	-233	44	-59	0.81
80	-232	52	-55	1.07
85	-233	61	-49	1.34
90	-230	71	-42	1.64
95	-220	81	-33	1.95
100	-212	93	-23	2.27
105	-202	107	-11	2.62
110	-190	124	3	2.98
115	-173	140	19	3.35
120	-156	158	36	3.75
125	-135	177	56	4.16
130	-110	197	78	4.58
135	-83	222	101	5.03
140	-52	249	127	5.49
145	-18	282	156	5.97
150	20	318	187	6.46
155	57	358	220	7.1
160	98	397	257	7.98
165	144	438	299	9.09
170	197	489	347	10.43
175	258	543	403	12.01
180	334	604	466	13.82
185	416	681	539	15.86
190	506	766	623	18.14
195	608	861	719	20.65
200	723	967	827	23.4
205	852	1085	950	26.32
210	990	1215	1087	29.05
215	1149	1356	1238	31.54
220	1305	1512	1400	33.77
225	1479	1678	1573	35.76
230	1649	1857	1755	37.51
235	1829	2045	1946	39
240	2013	2242	2143	40.25
245	2205	2444	2347	41.29
250	2388	2655	2555	42.15
255	2578	2872	2767	42.83
260	2766	3094	2982	43.33
265	2957	3318	3200	43.66
270	3144	3545	3419	43.8
275	3334	3775	3638	NA
