depth	min95%	max95%	best	acc.rate
0	-103	95	1	204.26
11	2156	2338	2248	204.26
20	3987	4186	4086	204.26
29	5810	6044	5924	204.26
41	8233	8522	8375	204.26
44	8839	9144	8988	204.26
49	9848	10182	10010	204.26
56	11261	11632	11439	204.26
71	14281	14741	14503	204.26
80	16092	16610	16342	204.26
90	18109	18688	18384	204.26
104	21195	21678	21422	222.07
119	24485	25108	24753	222.07
130	26355	26951	26609	115.39
140	27452	28127	27763	115.39
149	28386	29324	28802	115.39
153	28775	29874	29263	260.82
161	30678	32129	31350	260.82
169	32397	34847	33436	260.82
185	35515	40247	37610	NA
