depth	min95%	max95%	best	acc.rate
367.5	35281	37696	36323	80.78
370	35493	37860	36525	80.78
375	35919	38240	36929	80.78
380	36357	38596	37333	80.78
385	36782	38958	37737	80.78
390	37167	39390	38141	80.78
395	37523	39795	38544	80.78
400	37922	40203	38948	80.78
405	38275	40622	39352	80.78
410	38645	41001	39756	80.78
415	38981	41438	40160	80.78
420	39311	41867	40564	80.78
425	39658	42281	40968	80.78
430	39955	42714	41372	80.78
440	40568	43681	42180	80.78
445	40883	44181	42583	80.78
450	41219	44658	42987	80.78
455	41554	45136	43391	80.78
460	41870	45591	43795	80.78
465	42199	46053	44199	80.78
470	42528	46546	44603	80.78
475	42857	47058	45007	80.78
480	43186	47569	45411	80.78
485	43498	48055	45815	80.78
490	43811	48561	46218	80.78
495	44142	49080	46622	80.78
500	44449	49446	46942	24.46
505	44669	49458	47064	24.46
510	44927	49469	47186	24.46
515	45180	49486	47309	24.46
520	45434	49501	47431	24.46
525	45673	49514	47553	24.46
530	45897	49528	47675	24.46
535	46114	49542	47798	24.46
540	46356	49559	47920	24.46
545	46609	49576	48042	24.46
550	46849	49587	48165	24.46
555	47020	49596	48287	24.46
560	47190	49622	48409	24.46
565	47349	49641	48532	24.46
570	47501	49666	48654	24.46
575	47685	49693	48776	24.46
580	47821	49725	48898	24.46
585	47915	49767	49021	24.46
590	48063	49805	49143	24.46
595	48161	49860	49265	24.46
600	48269	49923	49388	24.46
608	48391	50172	49571	24.46
610	48419	50256	49620	24.46
615	48513	50477	49742	24.46
620	48547	50687	49864	NA
