"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
367.5	0	1	1	1	3
370	0	1	1	1	3
375	0	1	1	1	3
380	0	1	1	1	3
385	0	1	1	1	3
390	0	1	1	1	3
395	0	1	1	1	3
400	0	1	1	0	2
405	0	1	0	0	1
410	0	1	0	0	1
415	0	1	0	0	1
420	0	0	0	0	0
425	0	0	0	0	0
430	0	0	0	0	0
440	0	0	0	0	0
445	0	0	0	0	0
450	0	0	0	0	0
455	0	0	0	0	0
460	0	0	0	0	0
465	0	0	0	0	0
470	0	0	0	0	0
475	0	1	0	0	1
480	0	1	0	0	1
485	0	1	0	0	1
490	0	1	1	1	3
495	0	1	1	1	3
500	0	1	1	1	3
505	0	1	1	1	3
510	0	1	1	1	3
515	0	1	1	1	3
520	0	1	1	0	2
525	0	1	1	0	2
530	0	1	1	1	3
535	0	1	1	1	3
540	0	1	1	1	3
545	0	1	1	1	3
550	0	1	1	1	3
555	0	1	1	1	3
560	0	1	1	1	3
565	0	1	1	1	3
570	0	1	1	1	3
575	0	1	1	1	3
580	0	1	1	1	3
585	0	1	1	1	3
590	0	1	1	1	3
595	0	1	1	1	3
600	0	1	1	1	3
608	0	1	1	1	3
610	0	1	1	1	3
615	0	1	1	0	2
620	0	1	1	0	2
