depth	min95%	max95%	best	acc.rate
5	3497	3811	3686	3.44
10	3519	3825	3703	3.44
15	3540	3838	3721	3.44
20	3562	3853	3738	3.44
25	3583	3866	3755	3.44
35	3627	3894	3789	3.44
40	3649	3909	3807	3.44
45	3670	3923	3824	3.44
50	3692	3939	3841	3.44
55	3714	3954	3858	3.44
60	3736	3970	3875	3.44
65	3758	3985	3893	3.44
70	3778	3999	3910	3.44
75	3799	4013	3927	3.44
80	3820	4029	3944	3.44
85	3841	4045	3961	3.44
90	3862	4060	3978	3.44
95	3883	4077	3996	3.44
100	3904	4093	4013	3.44
105	3925	4110	4030	3.44
110	3946	4125	4047	3.44
115	3966	4143	4064	3.44
120	3987	4161	4082	3.44
125	4008	4177	4099	3.44
130	4028	4193	4116	3.44
135	4047	4209	4133	3.44
140	4068	4226	4150	3.44
145	4087	4242	4168	3.44
150	4104	4260	4185	3.44
155	4124	4274	4202	3.44
160	4144	4292	4219	3.44
165	4161	4307	4236	3.44
170	4178	4328	4253	3.44
175	4194	4345	4271	3.44
180	4211	4365	4288	3.44
185	4231	4384	4305	3.44
190	4251	4403	4322	3.44
195	4270	4421	4339	3.44
205	4303	4458	4374	3.44
215	4340	4495	4408	3.44
220	4361	4513	4425	3.44
225	4378	4534	4443	3.44
230	4394	4554	4460	3.44
235	4410	4574	4477	14.95
240	4489	4641	4552	14.95
245	4560	4715	4626	14.95
250	4632	4787	4701	14.95
255	4705	4862	4776	14.95
260	4778	4934	4851	14.95
265	4848	5012	4925	14.95
270	4917	5088	5000	14.95
275	4986	5168	5075	14.95
280	5056	5246	5150	14.95
285	5124	5328	5224	14.95
290	5192	5410	5299	14.95
295	5259	5492	5374	14.95
300	5325	5577	5449	12.74
305	5395	5635	5512	12.74
310	5464	5693	5576	12.74
315	5533	5752	5640	12.74
320	5600	5811	5704	12.74
325	5666	5871	5767	12.74
330	5734	5931	5831	12.74
335	5800	5991	5895	12.74
340	5865	6051	5958	12.74
345	5928	6114	6022	12.74
350	5990	6174	6086	12.74
355	6053	6237	6150	12.74
360	6119	6305	6213	12.74
365	6181	6373	6277	12.74
370	6245	6437	6341	12.74
375	6307	6506	6404	12.74
380	6370	6571	6468	12.74
385	6429	6641	6532	12.74
390	6488	6708	6596	17.05
395	6580	6788	6681	17.05
400	6671	6869	6766	17.05
405	6760	6949	6851	17.05
410	6849	7030	6937	17.05
415	6938	7109	7022	17.05
425	7112	7271	7192	17.05
430	7198	7355	7277	17.05
435	7284	7438	7363	17.05
440	7370	7524	7448	17.05
445	7455	7610	7533	17.05
450	7541	7697	7618	17.05
455	7626	7784	7704	17.05
460	7711	7872	7789	17.05
465	7796	7961	7874	17.05
470	7877	8052	7959	17.05
475	7959	8143	8045	17.05
480	8031	8210	8116	13.53
485	8102	8273	8183	13.53
500	8308	8472	8386	13.53
505	8376	8540	8454	13.53
510	8442	8610	8522	13.53
515	8509	8681	8589	13.53
520	8574	8752	8657	13.53
525	8639	8823	8725	13.53
530	8703	8896	8792	13.53
535	8768	8969	8860	13.53
540	8833	9043	8928	13.53
545	8896	9116	8995	13.53
550	8959	9190	9063	13.53
555	9019	9268	9131	13.53
560	9077	9342	9198	13.53
565	9138	9418	9266	13.53
570	9197	9496	9334	13.53
575	9255	9573	9401	13.53
580	9311	9651	9469	13.53
585	9369	9729	9537	13.53
590	9428	9808	9604	13.53
595	9485	9886	9672	13.53
600	9542	9965	9740	13.53
605	9600	10043	9807	13.53
610	9658	10122	9875	13.53
615	9714	10201	9943	13.53
620	9770	10280	10010	13.53
625	9826	10359	10078	NA
