depth	min95%	max95%	best	acc.rate
3	-39	149	53	16.89
7	31	213	120	16.89
11	102	273	188	16.89
15	170	339	255	16.89
19	240	403	323	16.89
23	309	470	390	16.89
27	377	537	458	16.89
56	855	1030	948	16.89
60	920	1100	1016	16.89
65	1001	1187	1100	16.89
70	1079	1274	1184	16.89
75	1154	1365	1269	16.89
80	1231	1455	1353	16.89
84	1292	1526	1421	16.89
89	1369	1616	1505	16.89
94	1446	1705	1590	16.89
99	1524	1796	1674	16.89
104	1602	1885	1759	16.89
109	1681	1950	1830	11.54
115	1779	2004	1899	11.54
119	1833	2048	1945	11.54
125	1908	2124	2015	11.54
130	1955	2192	2072	11.54
136	2012	2283	2141	11.54
141	2055	2369	2199	11.54
146	2096	2460	2257	24.85
152	2332	2652	2473	38.17
157	2532	2824	2663	38.17
162	2730	2998	2854	38.17
167	2923	3185	3045	38.17
172	3107	3386	3236	38.17
177	3288	3582	3427	38.17
182	3466	3785	3618	38.17
187	3644	3994	3808	38.17
192	3819	4206	3999	38.17
197	3993	4410	4187	31.34
203	4203	4570	4375	31.34
208	4373	4708	4532	31.34
214	4578	4880	4720	31.34
219	4746	5027	4876	31.34
225	4938	5201	5064	31.34
231	5129	5377	5252	31.34
236	5286	5524	5409	31.34
242	5470	5710	5597	31.34
247	5615	5870	5754	31.34
252	5673	5914	5806	5.22
257	5709	5939	5832	5.22
262	5736	5967	5858	5.22
267	5760	5996	5884	5.22
272	5778	6030	5910	5.22
277	5786	6062	5936	5.22
282	5791	6097	5963	5.22
287	5800	6133	5989	5.22
292	5809	6176	6015	NA
