depth	min95%	max95%	best	acc.rate
3	-31	145	55	18.03
7	42	217	127	18.01
11	111	290	199	17.98
15	175	359	271	17.93
19	236	434	342	17.87
23	291	505	414	17.79
27	347	577	485	17.7
56	760	1096	984	16.6
60	819	1164	1050	16.39
65	890	1246	1132	16.1
70	965	1326	1212	15.79
75	1039	1402	1290	15.46
80	1114	1476	1367	15.11
84	1175	1532	1427	14.81
89	1255	1601	1500	14.41
94	1331	1669	1571	14
99	1406	1733	1640	13.55
104	1480	1802	1707	13.09
109	1555	1887	1772	12.7
115	1651	1994	1848	12.81
119	1722	2069	1900	13.28
125	1830	2185	1982	14.57
130	1922	2292	2058	16.17
136	2039	2420	2161	18.74
141	2140	2532	2260	21.42
146	2255	2656	2373	24.58
152	2407	2812	2531	28.37
157	2545	2954	2678	31.08
162	2699	3095	2838	33.39
167	2864	3242	3009	35.28
172	3039	3407	3189	36.77
177	3227	3577	3375	37.85
182	3417	3741	3566	38.53
187	3610	3916	3759	38.8
192	3804	4101	3953	38.65
197	3997	4285	4145	38.11
203	4227	4507	4371	37.07
208	4408	4692	4555	35.94
214	4614	4898	4766	34.27
219	4778	5062	4934	32.62
225	4955	5245	5124	30.31
231	5124	5420	5300	27.66
236	5238	5552	5433	25.18
242	5377	5692	5576	21.89
247	5479	5798	5680	18.89
252	5567	5890	5768	15.89
257	5646	5970	5842	13.24
262	5713	6038	5904	10.95
267	5783	6108	5954	9.02
272	5837	6178	5996	7.45
277	5884	6239	6031	6.24
282	5915	6311	6060	5.38
287	5937	6381	6086	4.89
292	5954	6454	6110	NA
