depth	min95%	max95%	best	acc.rate
2	-88	90	0	2.7
5	-75	94	8	2.7
7	-69	98	13	2.7
9	-62	102	19	2.7
12	-53	110	27	2.7
15	-44	118	35	2.7
17	-37	125	40	2.7
19	-31	132	46	2.7
22	-25	142	54	2.7
25	-17	152	62	2.7
27	-13	159	67	2.7
29	-8	167	73	2.7
32	-2	176	81	2.7
35	2	188	89	2.7
37	6	195	94	2.7
39	7	202	100	2.7
42	11	214	108	2.7
45	15	227	116	2.7
47	17	236	121	2.7
49	19	247	127	2.7
52	22	263	135	59.41
55	212	429	313	59.41
57	338	541	432	59.41
59	463	653	551	59.41
62	650	822	729	59.41
65	834	993	907	59.41
67	955	1107	1026	59.41
69	1075	1222	1145	59.41
72	1256	1396	1323	59.41
75	1433	1571	1501	59.41
77	1552	1686	1620	59.41
79	1665	1805	1739	59.41
82	1837	1987	1917	102.01
85	2145	2288	2223	102.01
87	2351	2494	2427	102.01
89	2555	2700	2631	102.01
92	2856	3013	2937	102.01
95	3151	3328	3243	102.01
97	3346	3539	3447	102.01
99	3541	3752	3651	102.01
102	3834	4070	3957	102.01
105	4125	4393	4263	102.01
107	4322	4603	4467	102.01
109	4515	4814	4671	102.01
112	4805	5133	4977	102.01
122	5770	6199	5997	71.2
125	5998	6401	6211	71.2
128	6225	6605	6424	71.2
133	6603	6943	6780	71.2
138	6976	7289	7136	71.2
143	7338	7638	7492	71.2
148	7692	7992	7848	71.2
153	8034	8347	8204	71.2
158	8369	8709	8560	71.2
163	8700	9069	8916	71.2
168	9026	9440	9272	89.27
173	9566	9985	9791	107.34
178	10059	10594	10328	107.34
183	10526	11209	10864	107.34
188	10994	11845	11401	107.34
193	11450	12475	11938	107.34
198	11866	13119	12474	107.34
203	12316	13763	13011	107.34
208	12756	14419	13548	107.34
213	13187	15087	14085	107.34
218	13635	15750	14621	53.67
223	14027	16334	15104	107.34
228	14463	16978	15641	107.34
233	14900	17632	16178	107.34
238	15339	18277	16714	107.34
243	15775	18918	17251	NA
