depth	min95%	max95%	best	acc.rate
2	-1207	-51	-233	-0.29
5	-1147	-49	-234	0.03
7	-1106	-45	-233	0.37
9	-1065	-42	-232	0.82
12	-1002	-31	-229	1.7
15	-937	-20	-223	2.82
17	-892	-8	-217	3.7
19	-845	4	-209	4.68
22	-773	28	-193	6.36
25	-697	53	-172	8.28
27	-642	71	-155	9.7
29	-582	92	-135	11.22
32	-489	131	-99	13.71
35	-406	175	-55	16.43
37	-337	208	-21	18.38
39	-263	244	16	20.44
42	-167	305	81	23.73
45	-49	374	156	27.25
47	25	426	211	29.74
49	108	482	272	32.33
52	217	572	373	36.42
55	344	675	487	40.53
57	436	751	569	43.22
59	531	831	657	45.87
62	688	955	798	49.76
65	851	1096	951	53.57
67	961	1197	1060	56.05
69	1077	1302	1173	58.49
72	1251	1476	1352	62.08
75	1436	1678	1542	65.58
77	1562	1812	1674	67.86
79	1689	1951	1811	70.1
82	1893	2166	2025	73.38
85	2094	2396	2248	76.43
87	2233	2556	2402	78.3
89	2375	2717	2559	80.03
92	2595	2965	2802	82.38
95	2819	3225	3051	84.42
97	2970	3406	3220	85.62
99	3121	3586	3392	86.68
102	3354	3858	3654	88.02
105	3603	4135	3919	89.06
107	3764	4318	4097	89.59
109	3927	4505	4277	89.98
112	4176	4783	4547	90.32
122	5033	5687	5448	89.27
125	5293	5953	5715	88.57
128	5558	6217	5980	87.98
133	5999	6651	6419	87.21
138	6449	7080	6854	86.74
143	6900	7522	7287	86.56
148	7360	7959	7720	86.66
153	7832	8401	8154	87.05
158	8300	8843	8590	87.73
163	8776	9288	9031	88.71
168	9244	9754	9477	89.96
173	9711	10228	9929	91.3
178	10152	10700	10388	92.49
183	10583	11173	10853	93.54
188	10998	11643	11322	94.45
193	11415	12131	11796	95.22
198	11838	12623	12274	95.85
203	12251	13133	12754	96.34
208	12676	13654	13236	96.69
213	13094	14174	13720	96.9
218	13513	14713	14205	96.96
223	13931	15245	14690	96.96
228	14349	15786	15175	96.96
233	14769	16328	15659	96.96
238	15185	16869	16144	96.96
243	15605	17415	16629	NA
