depth	min95%	max95%	best	acc.rate
0	-1293	-928	-1074	44.01
5	-1057	-721	-854	44.01
10	-822	-513	-634	44.01
25	-118	114	26	44.01
30	115	323	246	44.01
35	347	535	466	44.01
40	577	746	686	44.01
45	806	958	906	44.01
50	1038	1173	1126	44.01
55	1269	1390	1346	44.01
60	1496	1612	1566	44.01
65	1717	1835	1786	44.01
70	1939	2059	2006	44.01
75	2162	2285	2226	44.01
80	2373	2509	2446	44.01
85	2585	2736	2667	44.01
90	2796	2965	2887	29.15
95	2950	3103	3032	29.15
100	3104	3248	3178	29.15
105	3252	3393	3324	29.15
110	3395	3541	3470	29.15
115	3537	3687	3615	29.15
120	3678	3839	3761	29.15
125	3820	3986	3907	29.15
130	3959	4136	4052	29.15
135	4093	4287	4198	29.15
140	4228	4440	4344	22.31
145	4348	4547	4455	22.31
150	4465	4654	4567	22.31
155	4580	4763	4679	22.31
160	4695	4871	4790	22.31
165	4809	4981	4902	22.31
170	4923	5090	5013	22.31
175	5037	5200	5125	22.31
180	5154	5310	5236	22.31
185	5271	5420	5348	22.31
190	5384	5532	5459	22.31
195	5496	5643	5571	22.31
200	5608	5755	5683	22.31
205	5723	5865	5794	22.31
210	5832	5976	5906	22.31
215	5942	6088	6017	22.31
220	6052	6202	6129	22.31
225	6160	6315	6240	22.31
230	6267	6431	6352	22.31
235	6372	6545	6463	22.31
240	6477	6662	6575	18.94
245	6580	6749	6670	18.94
250	6678	6840	6764	18.94
255	6777	6933	6859	18.94
260	6877	7023	6954	18.94
300	7642	7777	7711	18.94
305	7737	7872	7806	18.94
310	7829	7969	7901	18.94
315	7919	8067	7995	18.94
320	8011	8167	8090	18.94
325	8102	8266	8185	18.94
330	8192	8365	8280	5.64
335	8232	8381	8308	5.64
340	8268	8403	8336	5.64
345	8301	8428	8364	5.64
350	8330	8454	8392	5.64
355	8359	8484	8421	5.64
360	8384	8515	8449	5.64
365	8407	8554	8477	5.64
370	8424	8593	8505	5.64
375	8442	8637	8533	5.64
380	8455	8683	8562	5.64
385	8466	8728	8590	5.64
390	8477	8772	8618	5.64
395	8489	8820	8646	5.64
400	8500	8864	8674	5.64
405	8511	8909	8703	5.64
410	8522	8956	8731	5.64
415	8532	9003	8759	5.64
420	8542	9049	8787	5.64
425	8553	9096	8815	5.64
430	8564	9144	8843	5.64
435	8575	9191	8872	5.64
440	8586	9238	8900	5.64
445	8597	9285	8928	5.64
450	8607	9333	8956	5.64
455	8618	9380	8984	5.64
460	8629	9428	9013	NA
