depth	min95%	max95%	best	acc.rate
0	-2	389	183	4.88
10	59	426	232	4.88
20	121	460	280	4.88
30	182	497	329	4.88
40	243	533	378	4.88
45	274	551	403	4.88
50	304	569	427	4.88
60	364	603	476	4.88
65	395	624	500	4.88
70	425	644	525	4.88
74	448	661	544	4.88
80	484	685	574	4.88
85	512	705	598	4.88
90	542	724	622	4.88
95	570	746	647	4.88
99	591	763	666	4.88
110	651	808	720	4.88
115	677	829	745	4.88
120	701	849	769	4.88
124	720	866	788	4.88
129	745	889	813	4.88
134	769	912	837	4.88
139	792	936	862	4.88
144	817	961	886	4.88
149	840	987	911	4.88
153	858	1009	930	4.88
155	867	1019	940	4.88
160	890	1046	964	4.88
165	911	1073	989	4.88
170	931	1100	1013	4.88
174	946	1123	1033	4.88
177	957	1140	1047	4.88
180	966	1156	1062	4.88
185	982	1185	1086	4.88
190	1000	1212	1111	4.88
195	1018	1240	1135	4.88
199	1043	1266	1160	7.67
202	1069	1286	1183	7.67
205	1095	1304	1206	7.67
210	1142	1338	1245	7.67
215	1188	1371	1283	7.67
220	1230	1404	1322	7.67
224	1267	1432	1352	7.67
228	1300	1459	1383	7.67
230	1315	1473	1398	7.67
235	1354	1508	1437	7.67
240	1397	1544	1475	7.67
245	1434	1584	1513	7.67
249	1464	1614	1544	7.67
252	1485	1638	1567	7.67
255	1507	1661	1590	7.67
260	1542	1701	1629	7.67
265	1577	1744	1667	7.67
270	1611	1785	1705	7.67
274	1638	1819	1736	7.67
277	1658	1845	1759	7.67
280	1677	1871	1782	7.67
285	1709	1914	1820	7.67
290	1742	1958	1859	7.67
295	3239	3424	3339	368.24
299	4714	4898	4812	368.24
306	7231	7503	7390	368.24
310	8662	8998	8863	43.86
315	8892	9210	9082	43.86
316	8938	9254	9126	43.86
320	9123	9427	9302	43.86
324	9305	9603	9477	43.86
327	9441	9735	9609	43.86
330	9578	9867	9740	43.86
335	9799	10088	9960	43.86
340	10021	10314	10179	43.86
345	10237	10535	10398	43.86
349	10406	10717	10574	43.86
377	11577	11995	11802	43.86
380	11702	12133	11933	43.86
385	11914	12363	12153	43.86
390	12134	12580	12371	43.57
395	12363	12792	12589	43.57
399	12541	12964	12763	43.57
403	12723	13132	12937	43.57
405	12807	13220	13024	43.57
410	13028	13439	13242	43.57
415	13246	13665	13460	43.57
420	13451	13893	13678	43.57
424	13620	14079	13852	43.57
428	13788	14269	14026	43.57
430	13870	14363	14114	43.57
435	14075	14597	14331	43.57
440	14276	14832	14549	43.57
445	14474	15075	14767	43.57
449	14628	15265	14941	43.57
456	14903	15603	15246	43.57
460	15056	15803	15421	43.57
465	15242	15964	15592	28.1
470	15413	16067	15733	28.1
474	15546	16157	15845	28.1
477	15637	16227	15929	28.1
480	15733	16310	16014	28.1
485	15865	16446	16154	28.1
490	15990	16587	16295	28.1
495	16111	16744	16435	28.1
499	16198	16859	16548	28.1
505	16338	17068	16716	28.1
510	16436	17246	16857	28.1
515	17416	18310	17875	320.84
520	18822	20088	19480	320.84
524	19851	21547	20763	320.84
530	21416	23792	22688	320.84
535	22686	25660	24292	320.84
540	23948	27533	25896	320.84
545	25209	29399	27501	320.84
549	26218	30911	28784	320.84
552	26976	32039	29747	320.84
555	27739	33169	30709	320.84
560	29011	35049	32313	320.84
565	30266	36934	33917	320.84
570	31515	38825	35522	320.84
574	32523	40334	36805	320.84
585	35282	44483	40334	320.84
590	36534	46381	41939	320.84
595	37791	48279	43543	320.84
600	39046	50166	45147	NA
