DEPTH (CM);SAMPLE AGE;DATE;14C depth
0;0;;
10;0;;
20;73;;
30;146.1;;
40;219.1;;
45;292.1;;
50;328.7;;
60;365.2;;
65;438.2;;
70;474.7;;
74;511.2;;
80;540.4;;
85;584.3;;
90;620.8;650±80;89 cm
95;657.3;;
99;665;;
110;643.5;;
115;715;;
120;747.5;;
124;780;;
129;806;;
134;838.5;;
139;871;;
144;903.5;;
149;936;;
153;968.5;;
155;991.3;;
160;1007.5;;
165;1040;;
170;1072.5;;
174;1105;;
177;1127.8;;
180;1150.5;;
185;1170;;
190;1202.5;;
195;1330;1213±35;197 cm
199;1365;;
202;1393;;
205;1410.5;;
210;1435;;
215;1470;;
220;1505;;
224;1540;;
228;1568;;
230;1592.5;;
235;1610;;
240;1645;;
245;1680;;
249;1715;;
252;1743;;
255;1764;;
260;1785;;
265;1820;;
270;1855;;
274;1890;;
277;1918;;
280;1939;;
285;1960;;
290;1995;1923±43;291 cm
295;2050;;
299;????;;
306;???;;
310;8000;7996±49;310 cm
315;8150;;
316;8300;;
320;8450;;
324;8600;;
327;8750;;
330;8900;;
335;9050;;
340;9200;;
345;9350;;
349;9500;;
377;9;;
380;;;
385;;10340±60;386 cm
390;;;
395;;;
399;;;
403;;;
405;;;
410;;;
415;;;
420;;;
424;;;
428;;;
430;;;
435;;;
440;;;
445;;;
449;;;
456;;;
460;;12960±130;462 cm
465;;;
470;;;
474;;;
477;;;
480;;;
485;;;
490;;;
495;;;
499;;;
505;;;
510;;;
515;;13950±130;512 cm
520;;;
524;;;
530;;;
535;;;
540;;;
545;;;
549;;;
552;;;
555;;;
560;;;
565;;;
570;;;
574;;;
585;;;
590;18000;;
595;;;
;;40900-1000+900;599 cm
