"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
180	1	1	1	1	4
195	1	1	1	1	4
210	1	1	1	1	4
225	1	1	1	0	3
240	1	1	0	0	2
255	1	0	0	0	1
270	1	0	0	0	1
285	1	0	0	0	1
300	1	0	0	0	1
315	1	0	0	0	1
330	1	0	0	0	1
345	1	0	0	0	1
360	1	0	0	0	1
375	1	0	0	0	1
390	1	0	0	0	1
405	1	0	0	0	1
420	1	0	0	0	1
435	1	0	0	0	1
450	1	0	0	0	1
465	1	0	0	0	1
480	1	0	0	0	1
495	1	0	0	0	1
510	1	0	0	0	1
525	1	1	0	0	2
540	1	1	0	0	2
555	1	1	1	1	4
570	1	1	1	1	4
585	1	1	1	1	4
600	1	1	1	0	3
615	1	1	0	0	2
630	1	1	0	0	2
645	1	0	0	0	1
660	1	0	0	0	1
675	1	0	0	0	1
690	1	0	0	0	1
705	1	0	0	0	1
720	1	0	0	0	1
735	1	0	0	0	1
750	1	0	0	0	1
765	1	0	0	0	1
780	1	0	0	0	1
795	1	0	0	0	1
810	1	0	0	0	1
825	1	0	0	0	1
840	1	1	0	0	2
855	1	1	0	0	2
870	1	1	1	1	4
885	1	1	1	1	4
900	1	1	1	1	4
915	1	1	0	0	2
930	1	1	0	0	2
945	1	0	0	0	1
960	1	0	0	0	1
975	1	0	0	0	1
990	1	0	0	0	1
1005	1	0	0	0	1
1020	1	0	0	0	1
1035	1	0	0	0	1
1050	1	0	0	0	1
1065	1	0	0	0	1
1080	1	0	0	0	1
1095	1	0	0	0	1
1110	1	0	0	0	1
1125	1	0	0	0	1
1140	1	0	0	0	1
1155	1	0	0	0	1
1170	1	0	0	0	1
1185	1	0	0	0	1
1200	1	0	0	0	1
1215	1	1	0	0	2
1230	1	1	0	0	2
1245	1	1	1	1	4
1260	1	1	1	1	4
1275	1	1	1	1	4
1285	0	1	1	0	2
