depth	min95%	max95%	best	acc.rate
0	16563	18523	17549	33.49
15	17125	18982	18051	33.49
30	17679	19441	18554	33.49
45	18241	19902	19056	33.49
60	18787	20363	19559	33.49
75	19331	20828	20061	33.49
90	19878	21295	20563	33.49
105	20423	21748	21066	33.49
120	20966	22211	21568	33.49
135	21532	22674	22071	33.49
150	22061	23157	22573	33.49
165	22618	23639	23075	33.49
180	23155	24100	23578	33.49
195	23673	24570	24080	33.49
210	24195	25059	24582	33.49
225	24706	25543	25085	33.49
240	25211	26031	25587	33.49
255	25717	26526	26090	33.49
270	26223	27038	26592	33.49
285	26727	27549	27094	33.49
300	27215	28074	27597	33.49
315	27696	28583	28099	33.49
330	28167	29111	28601	33.49
345	28627	29655	29104	33.49
360	29104	30204	29606	33.49
375	29565	30752	30109	33.49
390	30039	31310	30611	33.49
405	30489	31890	31113	33.49
420	30954	32454	31616	33.49
435	31430	33014	32118	33.49
450	31885	33583	32620	33.49
465	32351	34146	33123	33.49
480	32823	34707	33625	33.49
495	33301	35268	34128	33.49
510	33782	35828	34630	33.49
525	34229	36389	35132	33.49
540	34683	36950	35635	33.49
555	35225	37426	36155	34.99
570	35745	37847	36680	34.99
585	36277	38358	37205	34.99
600	36809	38805	37730	34.99
615	37322	39303	38255	34.99
630	37814	39838	38779	34.99
645	38303	40364	39304	34.99
660	38748	40890	39829	34.99
675	39217	41446	40354	34.99
690	39684	42011	40879	34.99
705	40127	42568	41404	34.99
720	40554	43131	41928	34.99
735	41022	43680	42453	34.99
750	41457	44250	42978	34.99
765	41894	44832	43503	34.99
780	42313	45397	44028	34.99
795	42711	45969	44553	34.99
810	43124	46565	45078	34.99
825	43545	47149	45602	34.99
840	43972	47742	46127	34.99
855	44383	48351	46652	34.99
870	44791	48955	47177	34.99
885	45224	49559	47702	34.99
900	45658	50159	48227	34.99
915	46080	50779	48751	34.99
930	46499	51390	49276	34.99
945	46900	52017	49801	34.99
960	47309	52621	50326	34.99
975	47727	53226	50851	34.99
990	48130	53837	51376	34.99
1005	48525	54450	51901	34.99
1020	48928	55063	52425	34.99
1035	49333	55681	52950	34.99
1050	49739	56312	53475	34.99
1065	50144	56931	54000	34.99
1080	50548	57560	54525	34.99
1095	50952	58189	55050	34.99
1110	51380	58814	55575	34.99
1125	51785	59425	56099	34.99
1140	52205	60036	56624	34.99
1155	52609	60646	57149	34.99
1170	53011	61257	57674	34.99
1185	53414	61867	58199	34.99
1200	53816	62478	58724	34.99
1215	54218	63096	59248	34.99
1230	54621	63717	59773	34.99
1245	55023	64333	60298	34.99
1260	55426	64951	60823	34.99
1275	55828	65570	61348	34.99
1285	56097	65983	61698	NA
