depth	min95%	max95%	best	acc.rate
180	17327	20187	18004	176.95
195	19001	22094	20634	171.81
210	20509	24538	23120	157.11
225	21915	27544	25353	139.67
240	23208	30203	27332	123.23
255	24391	32534	29071	107.77
270	25480	34539	30585	93.29
285	26479	36175	31888	79.8
300	27436	37618	32997	67.3
315	28283	38747	33924	55.79
330	29042	39689	34686	45.25
345	29740	40333	35297	35.71
360	30346	40880	35771	27.15
375	30896	41161	36125	19.58
390	31452	41268	36371	12.99
405	31957	41250	36525	7.39
420	32424	41153	36603	2.77
435	32862	40993	36618	-0.85
450	33260	40653	36585	-3.5
465	33646	40312	36520	-5.15
480	34056	39950	36437	-5.83
495	34420	39562	36350	-5.51
510	34778	39168	36275	-4.21
525	35092	38814	36227	-1.92
540	35315	38530	36220	1.35
555	35369	38378	36267	5.21
570	35321	38247	36371	8.93
585	35325	38242	36530	12.49
600	35393	38330	36742	15.88
615	35549	38601	37003	19.12
630	35771	38840	37312	22.21
645	36061	39275	37665	25.13
660	36398	39752	38062	27.89
675	36740	40291	38498	30.49
690	37091	40805	38973	32.94
705	37472	41372	39483	35.22
720	37952	41998	40027	37.35
735	38409	42597	40601	39.31
750	38927	43214	41203	41.12
765	39502	43852	41832	42.77
780	40096	44528	42484	44.26
795	40777	45177	43157	45.59
810	41379	45835	43850	46.76
825	42099	46525	44558	47.77
840	42817	47185	45281	48.62
855	43537	47881	46015	49.31
870	44251	48566	46759	49.84
885	44916	49341	47509	50.22
900	45490	50218	48264	50.45
915	46090	51135	49023	50.66
930	46740	52091	49784	50.86
945	47425	53107	50548	51.05
960	47968	54182	51315	51.23
975	48373	55318	52085	51.4
990	48737	56454	52857	51.57
1005	49099	57718	53631	51.72
1020	49395	59029	54408	51.87
1035	49798	60318	55187	52.01
1050	50096	61573	55968	52.14
1065	50412	62860	56751	52.27
1080	50594	64223	57536	52.38
1095	50791	65607	58323	52.49
1110	50925	66978	59111	52.59
1125	51039	68407	59900	52.68
1140	51096	69851	60691	52.76
1155	51172	71307	61483	52.83
1170	51267	72788	62276	52.9
1185	51339	74317	63070	52.95
1200	51412	75749	63864	53
1215	51498	77224	64659	53.04
1230	51550	78778	65455	53.07
1245	51602	80342	66252	53.1
1260	51659	81906	67048	53.11
1275	51715	83454	67845	53.12
1285	51725	84458	68376	NA
